mAb_id,split_seed0,DLS Interaction Parameter kD (mL/g),SE-UHPLC Main Peak Plates (EP),AC-SINS λmax (nm),SE-UHPLC Main Peak FWHM (min),Viscosity
VIS_000,train,30.91938585,5853,2,0.086,9.4
VIS_001,train,17.05784921,2331,50,0.152,45.0
VIS_002,train,43.90886439,6209,36,0.082,10.9
VIS_003,train,31.79865021,4106,40,0.104,26.4
VIS_004,train,25.23252093,5137,44,0.095,13.9
VIS_005,train,35.15293123,6239,20,0.081,8.6
VIS_006,train,38.11585447,5710,0,0.087,8.1
VIS_007,train,-9.381179345,5164,-2,0.087,19.7
VIS_008,train,23.88153183,4625,-2,0.103,14.6
VIS_009,train,22.13486552,5549,0,0.086,7.3
VIS_010,train,1.699033624,5330,58,0.089,45.9
VIS_011,train,-1.271482613,3024,36,0.132,45.0
VIS_012,train,35.83177546,4409,36,0.101,14.8
VIS_013,train,34.21947166,5895,26,0.084,10.0
VIS_014,train,-0.698763767,6090,2,0.081,34.2
VIS_015,train,22.46909434,6008,-2,0.082,16.3
VIS_016,train,25.06819887,5246,36,0.093,12.4
VIS_017,train,49.13422809,6126,24,0.082,13.8
VIS_018,train,27.34316674,4797,44,0.094,21.2
VIS_019,train,22.47012914,6703,2,0.078,17.6
VIS_020,train,29.99670572,5818,2,0.084,6.1
VIS_021,train,39.12598464,5246,0,0.095,8.9
VIS_022,train,42.91058531,5543,0,0.089,10.3
VIS_023,train,38.433618,6376,14,0.082,6.0
VIS_024,train,33.76620215,5024,2,0.09,9.1
VIS_025,train,17.82752975,5497,18,0.088,22.7
VIS_026,train,26.22706981,5824,-2,0.084,10.4
VIS_027,train,6.974018353,5504,22,0.087,21.7
VIS_028,train,31.56234501,5634,10,0.085,10.3
VIS_029,train,15.91056147,907,30,0.212,48.8
VIS_030,train,38.4266892,6289,0,0.082,8.1
VIS_031,train,6.052595131,5514,2,0.087,31.8
VIS_032,train,27.95191599,3386,50,0.136,15.0
VIS_033,train,36.38462805,6041,4,0.085,13.1
VIS_034,train,21.66480752,4561,36,0.099,16.6
VIS_035,train,37.82230273,6041,22,0.082,10.5
VIS_036,train,27.72608335,5349,8,0.093,12.1
VIS_037,train,17.65658093,1135,40,0.185,27.3
VIS_038,train,-3.764334794,5669,0,0.085,11.7
VIS_039,train,34.23423188,5725,6,0.086,5.5
VIS_040,train,21.51677942,5851,30,0.085,11.9
VIS_041,train,39.5490345,5615,38,0.087,10.6
VIS_042,train,32.70658699,6332,4,0.082,10.9
VIS_043,train,21.06365829,4507,0,0.106,9.9
VIS_044,train,33.15951616,3137,54,0.119,17.1
VIS_045,train,23.51061753,6378,0,0.08,11.7
VIS_046,train,20.23601383,5613,0,0.086,15.3
VIS_047,train,12.09586296,7754,2,0.072,8.9
VIS_048,train,23.18706601,3870,2,0.118,9.3
VIS_049,train,30.47182235,4954,0,0.09,14.6
VIS_050,train,43.97650114,5242,0,0.09,12.0
VIS_051,train,5.841119405,5727,24,0.088,21.8
VIS_052,test,33.92714163,4582,0,0.093,12.2
VIS_053,test,38.1016525,5627,30,0.089,10.8
VIS_054,test,14.44466976,6749,42,0.078,10.4
VIS_055,test,-2.995752324,5592,-2,0.085,17.8
VIS_056,test,43.42111781,5963,18,0.083,9.1
VIS_057,test,10.87131546,1080,46,0.179,40.0
VIS_058,test,36.46267807,5722,18,0.086,10.8
VIS_059,test,23.77929008,5926,2,0.085,7.6
VIS_060,test,27.35986799,2940,36,0.135,20.1
VIS_061,test,1.56234145,5491,-2,0.085,25.9
VIS_062,test,24.38684351,6008,-2,0.082,8.4
VIS_063,test,23.90402936,4662,0,0.104,12.6
VIS_064,test,-1.563440414,5637,4,0.084,30.1
VIS_065,test,18.16243663,2458,42,0.151,25.6
VIS_066,test,32.06014622,4455,8,0.106,15.0
VIS_067,test,39.99593116,4548,4,0.096,9.9
VIS_068,test,9.182518246,4268,34,0.102,42.1
VIS_069,test,22.05473876,5661,22,0.087,16.8
VIS_070,test,7.061636953,6046,0,0.083,13.8
VIS_071,test,34.47857045,5325,48,0.088,13.9
VIS_072,test,33.32713191,5590,28,0.087,11.9
VIS_073,test,18.10874581,5472,2,0.09,11.4
VIS_074,test,15.71169571,3058,40,0.119,15.2
