mAb_id,split_seed0,Heparin_RT,Heparin_pB_buffer,BVP_high,poly_D_lysine,AUCt
CLR_000,train,5.11,4.4,0.0605,2.02,1062.979
CLR_001,train,3.95,3.568359284,0.063021342,1.4,1177.8
CLR_002,train,10.0,6.8,0.0723,3.6,898.37
CLR_003,train,11.1,7.3,0.0639,1.92,792.01
CLR_004,train,10.3,6.9,0.0711,2.19,837.28
CLR_005,train,3.99,4.031545507,0.0631,1.28,529.36
CLR_006,train,6.84,5.2,0.0617,2.59,966.52
CLR_007,train,5.09,4.4,0.0657,1.59,695.866
CLR_008,train,7.95,5.7,0.0615,2.5,963.96
CLR_009,train,3.92,3.45455691,0.0636,2.24,1318.0
CLR_010,train,7.63,5.6,0.0685,1.53,1222.1
CLR_011,train,17.7,10.9,0.072092015,3.644229891,385.51
CLR_012,train,7.76,5.7,0.0631,2.07,767.54
CLR_013,train,18.0,11.2,0.0714,3.03,613.74
CLR_014,train,15.2,9.5,0.0698,2.86,566.96
CLR_015,train,10.2,6.8,0.0763,2.54,550.971
CLR_016,train,8.21,5.9,0.0685,1.84,960.4
CLR_017,train,20.2,11.7374038,0.074495148,3.59,182.07
CLR_018,train,12.2,7.9,0.067973801,4.81,842.54
CLR_019,train,10.2,6.8,0.0714,2.8,754.2
CLR_020,train,9.055235954,6.212247767,0.0645,1.98,1014.2
CLR_021,train,12.7,8.1,0.071682841,3.02,288.73
CLR_022,train,15.6,9.8,0.0666,3.34,683.154
CLR_023,train,3.0,3.763351017,0.0819,1.82,557.94
CLR_024,train,15.0,9.4,0.0674,3.3,841.23
CLR_025,train,9.31,6.4,0.065,2.75,841.78
CLR_026,train,15.7,9.8,0.0711,1.94,712.253
CLR_027,train,11.6,7.6,0.0622,2.03,849.95
CLR_028,train,3.12,3.638457719,0.0622,1.53,585.4
CLR_029,train,3.95,4.039391269,0.0608,1.61,636.6
CLR_030,train,8.9,6.2,0.0699,2.23,958.21
CLR_031,train,10.7,7.1,0.0708,2.545960855,603.66
CLR_032,train,9.7,6.6,0.0641,2.55,503.334
CLR_033,train,13.7,8.7,0.0684,4.18,565.019
CLR_034,train,7.33,5.5,0.0758,2.168966793,536.93
CLR_035,train,14.8,9.0,0.0643,3.16,696.87
CLR_036,train,8.13,5.8,0.0623,1.88,862.26
CLR_037,train,13.9,6.0,0.0651,1.4,974.07
CLR_038,train,14.51233702,9.398152454,0.072920813,4.71781264,408.26
CLR_039,train,5.88,4.8,0.065528218,1.75,970.326
CLR_040,train,11.3,7.3,0.069,3.09,780.58
CLR_041,train,7.0,5.3,0.0664,2.104920523,864.676
CLR_042,test,15.7,9.9,0.0643,3.482080021,739.34
CLR_043,test,7.45,5.5,0.0611,1.99,1003.3
CLR_044,test,20.1,11.75547214,0.0751,3.85,272.12
CLR_045,test,13.1,8.4,0.0668,3.11,752.3
CLR_046,test,5.85,4.9,0.0773,2.45,718.47
CLR_047,test,5.08,4.4,0.0612,2.09,869.345
CLR_048,test,9.18,6.3,0.0632,1.26,565.019
CLR_049,test,12.1,7.8,0.0687,2.54,469.068
CLR_050,test,9.96,6.7,0.0641,2.8,826.56
CLR_051,test,10.4,6.9,0.06703065,2.03,819.42
CLR_052,test,3.27,3.230028133,0.0617,1.33,1240.5
