mAb_id,split_seed0,Name,AS,PSR,ACSINS,ELISA,BVP,Outcome
CLN_000,train,atezolizumab,0.06,0.07,15.0,1.29,6.2,Approved
CLN_001,train,obinutuzumab,0.01,0.11,1.8,0.95,1.63,Approved
CLN_002,train,dupilumab,0.03,0.15,10.8,8.69,19.27,Approved
CLN_003,train,visilizumab,0.06,0.42,22.0,1.88,4.8,Terminated
CLN_004,train,canakinumab,0.04,0.0,0.7,1.2,2.55,Approved
CLN_005,train,glembatumumab,0.3,0.17,28.9,1.06,2.22,Terminated
CLN_006,train,romosozumab,0.03,0.0,-1.0,1.01,1.47,Approved
CLN_007,train,duligotuzumab,0.06,0.33,29.6,8.54,9.63,Terminated
CLN_008,train,necitumumab,0.02,0.0,1.3,1.05,1.31,Approved
CLN_009,train,ofatumumab,0.03,0.0,1.2,1.12,1.18,Approved
CLN_010,train,muromonab,0.04,0.18,2.3,1.41,3.94,Approved
CLN_011,train,mepolizumab,0.04,0.0,-1.0,1.13,1.05,Approved
CLN_012,train,ustekinumab,0.02,0.15,0.4,2.18,5.07,Approved
CLN_013,train,radretumab,0.0,0.13,3.4,1.26,3.29,Terminated
CLN_014,train,fezakinumab,0.07,0.26,2.5,1.15,2.15,Terminated
CLN_015,train,golimumab,0.06,0.23,23.0,1.31,2.71,Approved
CLN_016,train,bevacizumab,0.22,0.0,0.8,1.29,2.78,Approved
CLN_017,train,tabalumab,0.06,0.0,2.0,1.26,3.68,Terminated
CLN_018,train,ipilimumab,0.04,0.23,10.4,1.05,1.69,Approved
CLN_019,train,otlertuzumab,0.07,0.0,2.3,1.17,1.78,Terminated
CLN_020,train,lumiliximab,0.07,0.14,1.4,1.14,2.22,Terminated
CLN_021,train,emibetuzumab,0.04,0.64,29.6,3.3,8.33,Terminated
CLN_022,train,imgatuzumab,0.07,0.0,0.9,5.01,11.77,Terminated
CLN_023,train,matuzumab,0.02,0.0,-0.9,1.06,1.03,Terminated
CLN_024,train,siltuximab,0.01,0.0,2.6,1.18,1.55,Approved
CLN_025,train,tocilizumab,0.05,0.0,1.3,1.14,2.81,Approved
CLN_026,train,ponezumab,0.16,0.07,-0.2,3.13,6.62,Terminated
CLN_027,train,epratuzumab,0.03,0.13,3.0,1.47,2.34,Terminated
CLN_028,train,fulranumab,0.07,0.19,11.6,1.85,6.92,Terminated
CLN_029,train,basiliximab,0.05,0.4,28.8,1.2,2.14,Approved
CLN_030,train,natalizumab,0.02,0.0,0.8,1.06,1.52,Approved
CLN_031,train,ozanezumab,0.06,0.77,27.7,2.03,4.45,Terminated
CLN_032,train,galiximab,0.03,0.0,1.1,1.21,3.81,Terminated
CLN_033,train,drozitumab,0.03,0.0,29.6,1.1,1.48,Terminated
CLN_034,train,tildrakizumab,-0.01,0.0,0.8,1.19,1.77,Approved
CLN_035,train,olaratumab,0.29,0.48,0.3,1.32,2.58,Approved
CLN_036,train,guselkumab,0.19,0.47,3.4,1.54,5.87,Approved
CLN_037,train,mogamulizumab,0.04,0.0,-0.5,1.12,2.17,Approved
CLN_038,train,veltuzumab,0.04,0.0,4.8,0.89,1.21,Terminated
CLN_039,train,ibalizumab,0.04,0.0,-0.3,0.99,1.13,Approved
CLN_040,train,certolizumab,0.04,0.0,0.2,1.14,1.65,Approved
CLN_041,train,denosumab,0.01,0.0,5.9,5.92,17.75,Approved
CLN_042,train,robatumumab,0.05,0.27,29.6,5.22,8.25,Terminated
CLN_043,train,onartuzumab,0.04,0.0,0.0,1.12,1.19,Terminated
CLN_044,train,carlumab,0.07,0.21,-0.4,2.76,8.88,Terminated
CLN_045,train,vedolizumab,0.07,0.0,0.4,1.15,1.58,Approved
CLN_046,train,trastuzumab,0.04,0.0,2.0,1.06,1.34,Approved
CLN_047,train,inotuzumab,0.03,0.25,4.0,3.18,5.4,Approved
CLN_048,train,sifalimumab,0.01,0.06,2.1,2.6,2.5,Terminated
CLN_049,train,abituzumab,0.06,0.17,1.5,1.14,2.72,Terminated
CLN_050,train,dalotuzumab,0.15,0.4,13.7,2.9,8.25,Terminated
CLN_051,train,pertuzumab,0.04,0.0,-0.2,1.21,1.69,Approved
CLN_052,train,cetuximab,0.05,0.0,1.3,1.09,1.09,Approved
CLN_053,train,zalutumumab,0.05,0.0,-0.8,1.28,2.9,Terminated
CLN_054,train,bapineuzumab,0.07,0.0,-0.7,1.21,3.55,Terminated
CLN_055,train,daratumumab,0.06,0.0,1.8,1.21,3.15,Approved
CLN_056,train,brodalumab,0.02,0.27,11.2,1.48,2.93,Approved
CLN_057,train,lintuzumab,0.05,0.0,0.9,1.05,1.25,Terminated
CLN_058,train,bococizumab,0.07,0.76,29.6,13.5,18.88,Terminated
CLN_059,train,alirocumab,0.03,0.0,1.2,1.2,2.18,Approved
CLN_060,train,nivolumab,0.03,0.14,2.4,1.15,1.32,Approved
CLN_061,train,cixutumumab,0.16,0.66,29.6,3.77,11.9,Terminated
