mAb_id,Name,AS,PSR,ACSINS,ELISA,BVP ,Updated.Status
EXT_000,bavituximab,0.04,0.56,29.9,1.32,1.69,Terminated
EXT_001,codrituzumab,0.26,0.15,-0.3,9.42,14.87,Terminated
EXT_002,crenezumab,0.05,0.1,6.4,1.13,2.78,Terminated
EXT_003,etrolizumab,0.2,0.42,2.0,2.18,4.23,Terminated
EXT_004,fresolimumab,0.06,0.0,-0.5,1.3,3.51,Terminated
EXT_005,ganitumab,0.01,0.55,4.8,1.3,4.91,Terminated
EXT_006,gantenerumab,0.07,0.55,7.0,13.82,22.75,Terminated
EXT_007,gevokizumab,0.07,0.0,-0.5,1.18,1.93,Terminated
EXT_008,lebrikizumab,0.0,0.0,0.3,0.96,1.46,Approved
EXT_009,lirilumab,0.0,0.18,21.0,1.27,3.55,Terminated
EXT_010,olokizumab,0.04,0.0,-0.5,1.11,1.23,Approved
EXT_011,otelixizumab,0.09,0.0,4.4,1.13,1.4,Terminated
EXT_012,panobacumab,0.02,0.0,-0.4,1.21,1.9,Terminated
EXT_013,urelumab,0.01,0.0,29.6,1.15,1.53,Terminated
