mab_id,titer_mg_L,up_sec_pct_hmw,up_sec_pct_main,up_sec_pct_lmw,up_sec_retention_time_min,hp_rp_pct_pre,hp_rp_pct_main,hp_rp_pct_post,ce_sds_nr_pct_lmw,ce_sds_nr_pct_main,ce_sds_nr_pct_hmw,ce_sds_red_pct_lc,ce_sds_red_pct_hc,ce_sds_red_pct_others,nano_dsf_tonset_c,nano_dsf_tm1_c,nano_dsf_tagg_c,ac_sins_naac_ph_5_5,ac_sins_pbs_ph_7_4,low_ph_hold_up_sec_pct_hmw,low_ph_hold_up_sec_pct_main,low_ph_hold_up_sec_pct_lmw,low_ph_hold_up_sec_retention_time_min,cief_pi,patch_cdr_hyd,patch_hyd,patch_cdr_ion,patch_ion,isotype_igg4,hic_rt_min
mAb1,66.6,3.46,96.54,0.0,2.417,0.0,38.94,61.06,1.60932912613353,98.3906708738665,0.0,33.1719106659079,66.0225515817536,0.805537752338495,60.9,66.4,71.1,563.0,566.0,8.32,91.68,0.0,2.556,7.535,302,602,144,942,1,50.0
mAb2,303.9,0.48,99.52,0.0,2.397,0.0,61.63,38.37,2.3710412710065,97.6289587289935,0.0,31.5226066219717,67.624658012007,0.852735366021292,60.0,66.1,76.0,559.0,560.0,7.42,92.58,0.0,2.506,7.472,182,454,144,846,1,50.0
mAb3,76.6,2.33,97.67,0.0,2.403,0.0,60.24,39.76,3.2479897427799,96.7520102572201,0.0,33.5402604581569,66.018375853771,0.441363688072101,60.1,66.2,76.2,566.0,566.0,6.72,93.27,0.0,2.54,7.415,268,522,112,868,1,50.0
mAb4,106.3,1.86,98.14,0.0,2.363,0.0,67.77,32.23,3.25874282204984,96.7412571779502,0.0,32.1839100708871,67.3748136750481,0.441276254064803,60.5,66.1,76.0,563.0,561.0,6.83,93.17,0.0,2.448,7.185,202,522,194,1008,1,50.0
mAb5,188.2,3.18,96.82,0.0,2.361,0.0,61.62,38.38,2.51857150384302,97.481428496157,0.0,31.5489828163795,68.0672471584422,0.383770025178308,60.0,65.9,75.9,564.0,555.0,7.1,92.9,0.0,2.441,7.239,178,520,180,900,1,37.588
mAb6,52.1,1.08,98.92,0.0,2.441,0.0,68.74,31.26,1.94912748905116,98.0508725109488,0.0,34.3672809164322,64.8537348411316,0.778984242436195,59.9,66.1,75.8,569.0,566.0,2.53,97.47,0.0,2.579,7.405,284,596,136,892,1,50.0
mAb7,99.7,1.8,98.2,0.0,2.44,0.0,66.1,33.9,3.03824110481734,96.9617588951827,0.0,31.94976071866,67.3824254111872,0.667813870152798,60.3,66.1,76.3,568.0,571.0,3.04,96.96,0.0,2.57,7.414,302,604,104,934,1,50.0
mAb8,278.5,4.73,95.27,0.0,2.329,0.0,54.83,45.17,2.03090418566968,97.9690958143303,0.0,36.7071433428958,49.7829878015958,13.5098688555084,61.2,66.5,75.8,556.0,546.0,7.37,92.63,0.0,2.427,7.367,320,652,112,1028,1,29.088
mAb9,339.8,8.28,91.71,0.0,2.347,0.0,83.91,16.09,3.22226908644803,96.777730913552,0.0,32.2327437768887,66.8551611886629,0.912095034448399,59.9,66.5,76.4,561.0,561.0,9.75,90.25,0.0,2.442,7.312,252,606,226,1158,1,28.121
mAb10,660.0,1.84,98.16,0.0,2.438,0.0,55.39,44.61,2.20998190470204,97.790018095298,0.0,29.4756730744534,69.8492474242354,0.675079501311203,60.6,65.8,69.3,565.0,571.0,5.51,94.49,0.0,2.571,7.699,260,614,140,832,1,50.0
mAb11,593.7,3.8,96.2,0.0,2.322,0.0,54.05,45.95,3.16567267093249,96.8343273290675,0.0,29.3444300405694,69.8188103048067,0.836759654623904,61.6,67.1,72.8,567.0,566.0,9.34,90.66,0.0,2.418,7.457,260,578,170,1028,1,50.0
mAb12,433.7,0.0,100.0,0.0,2.601,0.6,99.4,0.0,0.0,100.0,0.0,34.3,64.9,0.8,61.8,67.3,79.8,537.0,544.0,0.0,100.0,0.0,2.628,8.101,234,436,164,1194,0,34.6
mAb13,270.2,1.65,98.35,0.0,2.781,0.6,99.4,0.0,0.0,100.0,0.0,34.3,64.7,1.0,61.4,66.5,78.0,536.0,565.0,0.0,100.0,0.0,2.777,8.13,260,426,176,1114,0,50.0
mAb14,635.7,1.05,98.95,0.0,2.646,0.5,99.5,0.0,0.66,99.34,0.0,34.4,64.9,0.7,61.9,67.7,78.0,534.0,557.0,0.43,99.57,0.0,2.643,8.184,262,412,168,1140,0,41.9
mAb15,754.3,1.19,98.81,0.0,3.122,0.0,100.0,0.0,0.79,99.21,0.0,34.4,64.9,0.7,60.6,65.8,78.9,536.0,555.0,0.51,99.49,0.0,3.05,8.146,224,394,172,1176,0,50.0
mAb16,373.6,0.0,100.0,0.0,2.661,0.6,97.4,2.0,0.0,100.0,0.0,34.4,64.9,0.7,61.2,66.1,69.3,539.0,562.0,0.0,100.0,0.0,2.652,8.494,278,418,226,1220,0,38.1
mAb17,656.2,0.86,99.14,0.0,2.566,0.4,99.6,0.0,0.66,99.34,0.0,34.3,65.1,0.6,61.9,67.5,78.9,537.0,555.0,0.0,100.0,0.0,2.571,8.404,258,436,216,1210,0,26.8
mAb18,650.8,0.0,100.0,0.0,2.843,0.8,99.2,0.0,0.0,100.0,0.0,34.4,64.9,0.7,60.8,65.7,78.7,539.0,560.0,0.0,100.0,0.0,2.8,8.404,224,412,186,1192,0,37.3
mAb19,408.0,0.0,100.0,0.0,2.902,0.6,99.4,0.0,0.0,100.0,0.0,34.1,65.1,0.8,61.6,66.6,72.7,540.0,560.0,0.0,100.0,0.0,2.932,8.128,260,394,162,1090,0,50.0
mAb20,511.4,1.77,98.23,0.0,2.747,0.6,96.5,2.9,2.09,97.91,0.0,34.3,64.9,0.8,62.1,67.7,73.0,536.0,550.0,0.0,100.0,0.0,2.728,8.134,302,466,140,1126,0,50.0
mAb21,485.2,1.84,98.16,0.0,2.639,0.6,99.4,0.0,0.0,100.0,0.0,34.3,64.9,0.8,62.1,67.5,72.2,543.0,560.0,0.36,99.64,0.0,2.651,8.455,314,462,170,1116,0,50.0
mAb22,454.0,0.0,100.0,0.0,3.363,1.0,99.0,0.0,0.0,100.0,0.0,34.3,64.8,0.9,60.9,66.0,73.2,537.0,560.0,0.0,97.85,2.15,3.332,8.141,258,416,104,1198,0,50.0
mAb23,201.9,1.36,98.64,0.0,3.167,0.7,99.3,0.0,0.0,100.0,0.0,34.6,64.5,0.9,59.8,64.8,74.0,537.0,549.0,0.44,99.56,0.0,3.054,8.169,214,412,176,1164,0,50.0
mAb24,281.5,0.0,100.0,0.0,2.486,0.4,98.0,1.6,0.0,100.0,0.0,34.1,65.3,0.6,62.1,68.3,75.8,536.0,562.0,0.0,99.64,0.36,2.524,8.407,212,352,190,1188,0,25.1
mAb25,406.0,2.17,97.83,0.0,2.577,0.5,99.5,0.0,0.0,100.0,0.0,34.0,65.2,0.8,62.6,68.7,76.7,535.0,544.0,0.25,99.75,0.0,2.617,8.094,214,394,148,1172,0,50.0
mAb26,731.2,0.0,100.0,0.0,2.549,0.6,99.4,0.0,0.0,100.0,0.0,35.8,64.2,0.0,61.7,68.3,73.1290023803711,535.0,539.0,1.56,98.44,0.0,2.581,8.201,210,368,112,1138,0,36.0
mAb27,402.7,0.0,100.0,0.0,2.64,0.6,99.4,0.0,0.0,100.0,0.0,35.0,65.0,0.0,62.3,68.8,82.2,537.0,552.0,0.0,100.0,0.0,2.67,7.768,284,524,226,1232,0,50.0
mAb28,319.2,0.0,100.0,0.0,2.678,0.5,99.5,0.0,0.0,100.0,0.0,34.8,64.5,0.7,61.5,66.7,77.5,538.0,558.0,0.0,100.0,0.0,2.692,8.293,234,384,204,1224,0,50.0
mAb29,253.6,0.0,100.0,0.0,2.666,0.7,99.3,0.0,0.0,100.0,0.0,34.3,64.9,0.8,62.1,67.4,70.0,537.0,549.0,0.0,100.0,0.0,2.69,8.221,244,470,152,1162,0,50.0
mAb30,295.1,0.0,100.0,0.0,2.904,0.8,99.2,0.0,0.0,100.0,0.0,34.2,65.0,0.8,60.7,65.5,67.6,552.0,563.0,0.54,99.46,0.0,2.872,8.546,250,396,210,1198,0,50.0
mAb31,340.5,0.0,100.0,0.0,2.849,0.9,99.1,0.0,0.0,100.0,0.0,34.1,65.1,0.8,59.7,64.8,67.1,555.0,562.0,0.0,100.0,0.0,2.845,8.526,304,500,228,1282,0,50.0
mAb32,695.1,0.0,100.0,0.0,2.506,0.6,99.4,0.0,0.0,100.0,0.0,34.8,64.1,1.1,63.1,69.5,74.0,534.0,537.0,0.0,100.0,0.0,2.539,8.173,226,428,180,1194,0,29.1
mAb33,260.7,0.35,99.65,0.0,2.514,0.5,99.5,0.0,1.03,98.97,0.0,35.6,64.1,0.3,61.3,66.2,70.6,537.0,539.0,0.0,100.0,0.0,2.588,8.239,208,364,190,1194,0,29.7
mAb34,298.7,0.18,99.82,0.0,2.691,4.2,95.2,0.6,1.06,98.94,0.0,35.4,64.4,0.2,61.1,66.2,70.2,541.0,550.0,0.17,99.83,0.0,2.765,8.254,220,416,150,1190,0,33.9
mAb35,448.4,0.5,99.5,0.0,2.52,0.4,99.6,0.0,1.08,98.92,0.0,35.1,64.6,0.3,61.9,67.3,59.5,537.0,545.0,0.0,100.0,0.0,2.577,8.487,266,456,148,1098,0,32.7
mAb36,289.4,0.29,99.71,0.0,2.642,0.7,99.3,0.0,1.12,98.88,0.0,34.9,64.9,0.2,60.8,65.5,52.2,537.0,543.0,0.0,100.0,0.0,2.704,8.19,214,354,156,1140,0,50.0
mAb37,259.9,0.0,100.0,0.0,2.55,0.6,99.4,0.0,0.98,99.02,0.0,34.8,63.8,1.4,60.5,65.3,69.1,537.0,552.0,0.0,100.0,0.0,2.6,8.526,208,410,228,1164,0,29.9
mAb38,185.6,1.6,98.4,0.0,2.744,0.7,99.3,0.0,0.0,100.0,0.0,34.8,64.9,0.3,60.9,65.7,69.8,539.0,552.0,0.28,99.72,0.0,2.83,8.259,252,422,194,1160,0,50.0
mAb39,287.3,0.55,99.45,0.0,2.707,0.8,99.2,0.0,2.21,97.79,0.0,34.6,65.0,0.4,60.4,65.6,71.2,537.0,549.0,0.31,99.69,0.0,2.784,8.227,270,448,176,1222,0,50.0
mAb40,226.6,0.0,100.0,0.0,2.436,0.4,99.6,0.0,0.85,99.15,0.0,34.7,65.1,0.2,62.5,68.7,71.0,537.0,537.0,0.0,100.0,0.0,2.507,8.278,232,404,148,1188,0,25.0
mAb41,113.0,0.0,100.0,0.0,2.506,0.4,99.6,0.0,0.0,100.0,0.0,35.2,64.8,0.0,62.4,67.6,68.5,537.0,537.0,0.0,100.0,0.0,2.562,8.372,222,394,114,1152,0,35.6
mAb42,480.9,0.24,99.76,0.0,2.728,0.5,99.5,0.0,0.84,99.16,0.0,34.4,65.2,0.4,61.8,66.9,75.4,539.0,558.0,0.0,100.0,0.0,2.83,8.111,242,414,114,1122,0,50.0
mAb43,270.2,0.0,100.0,0.0,2.583,0.4,99.6,0.0,0.84,99.16,0.0,34.1,65.6,0.3,62.3,67.5,69.1,552.0,557.0,0.0,100.0,0.0,2.639,8.216,308,472,296,1302,0,50.0
mAb44,314.5,0.0,100.0,0.0,2.724,0.4,99.6,0.0,0.83,99.07,0.0,34.5,65.1,0.4,61.0,65.8,68.2,546.0,562.0,0.0,100.0,0.0,2.783,8.462,230,396,194,1188,0,50.0
mAb45,561.4,0.0,100.0,0.0,2.601,0.4,99.6,0.0,0.86,99.14,0.0,34.4,65.4,0.2,61.5,66.7,77.1,540.0,558.0,0.0,100.0,0.0,2.664,8.428,204,380,208,1272,0,50.0
mAb46,487.0,0.0,100.0,0.0,2.596,0.4,99.6,0.0,0.82,99.18,0.0,34.5,65.3,0.2,62.1,67.5,73.9,540.0,552.0,0.0,100.0,0.0,2.654,7.913,240,454,212,1200,0,50.0
mAb47,278.2,0.0,100.0,0.0,2.668,0.3,99.7,0.0,0.82,99.18,0.0,34.6,65.4,0.0,61.5,66.6,70.0,543.0,557.0,0.0,100.0,0.0,2.708,8.536,324,554,194,1188,0,50.0
mAb48,244.8,0.0,100.0,0.0,2.56,0.4,99.6,0.0,0.75,99.25,0.0,34.8,65.2,0.0,61.9,67.1,71.1,548.0,560.0,0.0,100.0,0.0,2.622,8.185,292,506,300,1262,0,50.0
mAb49,267.6,0.0,100.0,0.0,2.644,0.4,99.6,0.0,0.8,99.2,0.0,34.8,65.0,0.2,60.9,66.0,68.9,547.0,558.0,0.0,100.0,0.0,2.683,8.483,332,444,232,1194,0,50.0
mAb50,274.6,42.73,57.27,0.0,2.552,0.4,99.6,0.0,0.84,98.16,0.0,34.8,65.2,0.0,62.8,68.3,70.5,539.0,552.0,0.0,100.0,0.0,2.624,7.762,310,518,234,1204,0,50.0
mAb51,572.4,0.7,99.3,0.0,2.583,0.3,99.7,0.0,1.02,98.11,0.87,34.8,64.7,0.5,61.2,66.5,74.9,539.0,566.0,0.0,100.0,0.0,2.65,8.334,240,444,210,1218,0,50.0
mAb52,382.9,0.0,100.0,0.0,2.568,0.4,99.6,0.0,0.92,99.08,0.0,34.8,65.0,0.2,62.4,67.6,73.1,537.0,548.0,0.0,100.0,0.0,2.642,8.157,250,476,130,1156,0,50.0
mAb53,476.4,0.0,100.0,0.0,2.557,0.4,99.6,0.0,1.15,98.85,0.0,35.4,64.6,0.0,61.8,67.9,82.6,537.0,555.0,0.3,99.7,0.0,2.622,8.369,330,530,158,1114,0,39.2
mAb54,489.8,0.71,99.29,0.0,2.596,0.3,99.7,0.0,0.0,100.0,0.0,36.5,63.5,0.0,61.7,67.7,75.3,538.0,553.0,0.0,100.0,0.0,2.675,8.114,342,540,222,1188,0,50.0
mAb55,402.7,2.69,97.31,0.0,2.571,0.5,99.5,0.0,2.73,97.27,0.0,36.3,63.1,0.6,59.6,65.1,79.4,537.0,549.0,0.24,99.76,0.0,2.612,8.664,296,468,190,1230,0,41.8
mAb56,632.8,0.0,100.0,0.0,2.627,0.4,99.6,0.0,0.0,100.0,0.0,33.4278203010038,65.5216889519904,0.0,58.6,64.6,73.1290023803711,540.0,555.0,0.0,98.44,0.0,2.707,8.477,262,456,224,1246,0,50.0
mAb57,672.5,0.0,100.0,0.0,2.467,0.5,99.5,0.0,1.13,98.67,0.2,35.2,64.6,0.2,62.4,69.4,76.5,534.0,536.0,0.0,100.0,0.0,2.544,7.913,214,398,170,1240,0,29.1
mAb58,705.3,0.0,100.0,0.0,2.501,0.4,99.6,0.0,1.11,98.89,0.0,35.3,64.5,0.2,61.4,67.4,77.3,535.0,550.0,0.0,100.0,0.0,2.577,8.431,292,456,224,1262,0,32.2
mAb59,184.0,1.9099999999999968,98.09,0.0,2.464,0.0,98.18,1.82,2.3499999999999943,97.65,0.0,36.64,62.03,1.3299999999999983,62.7,68.9,86.7,539.0,537.0,0.0999999999999943,99.9,0.0,2.435,8.84,340,438,324,1608,0,22.3
mAb60,160.0,1.6599999999999966,98.34,0.0,2.459,0.2500000000000026,96.8,2.95,3.1700000000000017,96.83,0.0,38.82,58.61,2.5700000000000003,61.8,68.6,88.1,533.0,574.0,0.7000000000000028,99.3,0.0,2.406,8.69,318,430,318,1540,0,24.7
mAb61,155.0,1.9399999999999975,98.06,0.0,2.46,0.1600000000000057,97.85,1.99,2.5799999999999983,97.42,0.0,40.41,58.35,1.240000000000002,63.3,69.2,85.9,532.0,534.0,0.2999999999999971,99.7,0.0,2.425,8.83,326,466,314,1572,0,20.9
mAb62,185.0,1.4699999999999989,98.53,0.0,2.392,0.8400000000000034,99.16,0.0,2.5400000000000063,97.46,0.0,36.06,60.71,3.229999999999997,63.3,69.1,85.9,555.0,537.0,0.5999999999999943,99.4,0.0,2.375,8.5,306,412,322,1564,0,23.1
