Model,Fold,CV_R2,CV_RMSE,CV_MAE
ACeT,1,0.652206149,5.877522650,3.712917827
ACeT,2,0.553364316,6.032167040,4.530982692
ACeT,3,0.293572021,9.441135215,5.716340945
ACeT,4,0.801996843,5.202785449,3.719155128
ACeT,5,0.803967413,4.447202679,3.368873391
Ridge,1,0.607414091,6.244543794,4.952195856
Ridge,2,0.311026868,7.492000420,6.174705956
Ridge,3,0.625717338,6.872110384,5.374528023
Ridge,4,0.537965355,7.947620669,6.111507734
Ridge,5,0.581977244,6.494156487,5.084723039
SVR,1,0.525962903,6.861823241,4.530112178
SVR,2,0.332350768,7.375149479,5.333508818
SVR,3,0.414534595,8.594901238,5.705854165
SVR,4,0.397014589,9.079318727,6.402420841
SVR,5,0.505244411,7.065097210,4.586438394
Random forest,1,0.497390797,7.065592394,4.471884615
Random forest,2,0.797142003,4.065301090,3.256973456
Random forest,3,0.758193072,5.523630782,3.743961046
Random forest,4,0.830692873,4.811023524,3.790069641
Random forest,5,0.506449491,7.056487714,4.601053359
