model,metric,fold,value
ACeT,R2,1,0.29628381013653238
ACeT,R2,2,0.57758769839410373
ACeT,R2,3,0.44128521640048812
ACeT,R2,4,0.4456253114734664
ACeT,R2,5,0.34887645312376137
Ridge,R2,1,0.15390619184786336
Ridge,R2,2,0.27624092696560998
Ridge,R2,3,0.46255208273389481
Ridge,R2,4,0.62721302399334178
Ridge,R2,5,-0.17204135947342958
SVR,R2,1,-0.23849561390780205
SVR,R2,2,0.053707370209541416
SVR,R2,3,0.056615584587413337
SVR,R2,4,-0.054003489775200419
SVR,R2,5,0.014691264219177658
Random forest,R2,1,0.63244850515816098
Random forest,R2,2,0.31580463612836152
Random forest,R2,3,0.47859773722026555
Random forest,R2,4,0.65466694648942614
Random forest,R2,5,0.0040262468300952259
ACeT,RMSE,1,173.69050519842267
ACeT,RMSE,2,140.3521900390179
ACeT,RMSE,3,170.2671920891936
ACeT,RMSE,4,209.20466138710268
ACeT,RMSE,5,175.5245751578943
Ridge,RMSE,1,190.45245071105572
Ridge,RMSE,2,183.71639954335899
Ridge,RMSE,3,166.99523708335127
Ridge,RMSE,4,171.55367503369081
Ridge,RMSE,5,235.49283536165319
SVR,RMSE,1,230.42231920475683
SVR,RMSE,2,210.069810575215
SVR,RMSE,3,221.24845227823693
SVR,RMSE,4,288.46337793902654
SVR,RMSE,5,215.91976385023258
Random forest,RMSE,1,125.52678440720878
Random forest,RMSE,2,178.62448043168857
Random forest,RMSE,3,164.48350368143696
Random forest,RMSE,4,165.1158386870348
Random forest,RMSE,5,217.08518037669555
ACeT,MAE,1,136.26381502039294
ACeT,MAE,2,107.74964160156253
ACeT,MAE,3,136.31127562040439
ACeT,MAE,4,151.44635395951704
ACeT,MAE,5,143.59952109966852
Ridge,MAE,1,142.19060195555892
Ridge,MAE,2,144.73811006284521
Ridge,MAE,3,138.56177047070653
Ridge,MAE,4,136.96186523129612
Ridge,MAE,5,179.32955322032979
SVR,MAE,1,194.97715359889361
SVR,MAE,2,144.14604280004301
SVR,MAE,3,175.77914706321511
SVR,MAE,4,242.26332530326439
SVR,MAE,5,179.56322946089497
Random forest,MAE,1,94.992938851326088
Random forest,MAE,2,131.99313088714635
Random forest,MAE,3,117.29754283826598
Random forest,MAE,4,116.41266454424375
Random forest,MAE,5,155.17646735901994
ACeT,NRMSE,1,0.23945845227724716
ACeT,NRMSE,2,0.17541597597150749
ACeT,NRMSE,3,0.21686555262681759
ACeT,NRMSE,4,0.28845875744108862
ACeT,NRMSE,5,0.21408003214762866
Ridge,NRMSE,1,0.26256731205645806
Ridge,NRMSE,2,0.22961374182270103
Ridge,NRMSE,3,0.21269813598121759
Ridge,NRMSE,4,0.23654425100549667
Ridge,NRMSE,5,0.2872208277354234
SVR,NRMSE,1,0.31767177983546996
SVR,NRMSE,2,0.26255095010599305
SVR,NRMSE,3,0.28179925493816355
SVR,NRMSE,4,0.39774346812274497
SVR,NRMSE,5,0.26334836557664343
Random forest,NRMSE,1,0.17305752826932802
Random forest,NRMSE,2,0.22324972313305089
Random forest,NRMSE,3,0.20949899676024517
Random forest,NRMSE,4,0.22766753544451176
Random forest,NRMSE,5,0.26476977569671428
ACeT,NMAE,1,0.18786013782906949
ACeT,NMAE,2,0.13466842617036298
ACeT,NMAE,3,0.17361665364869558
ACeT,NMAE,4,0.20881956832362814
ACeT,NMAE,5,0.17514237003990543
Ridge,NMAE,1,0.19603110390951559
Ridge,NMAE,2,0.18089761784185351
Ridge,NMAE,3,0.17648305911064105
Ridge,NMAE,4,0.18884784497382687
Ridge,NMAE,5,0.21872080581248132
SVR,NMAE,1,0.26880529466407554
SVR,NMAE,2,0.18015763610935362
SVR,NMAE,3,0.22388600763537336
SVR,NMAE,4,0.33404120791179526
SVR,NMAE,5,0.21900581101501396
Random forest,NMAE,1,0.1309620355391326
Random forest,NMAE,2,0.16496859699636307
Random forest,NMAE,3,0.14939928319287077
Random forest,NMAE,4,0.16051388311421738
Random forest,NMAE,5,0.18926229042794149
