model,metric,cv_mean,cv_sd,held_out
ACeT,R2,0.42193169790567042,0.10757462175285001,0.79108658137240928
Ridge,R2,0.26957417321345606,0.30561161110923973,0.59845593110158068
SVR,R2,-0.033496976933374015,0.12297554301581839,0.02337111820157467
Random forest,R2,0.41710881436526187,0.26808845570663381,0.62224251199009539
ACeT,RMSE,173.80782477432624,24.432113157212584,112.99227339092671
Ridge,RMSE,189.64211954662198,27.286132215405985,156.65064466489778
SVR,RMSE,233.22474476949355,31.773436655001635,244.30387779262608
Random forest,RMSE,170.16715751681292,32.876320635725314,151.93999915513726
ACeT,MAE,135.07412146030907,16.509887618883898,81.315270174893456
Ridge,MAE,148.35638018814728,17.579928172588769,114.10969123741403
SVR,MAE,187.34577964526221,35.828574593735155,175.88142590465915
Random forest,MAE,123.17454889600042,22.22811057280612,115.04165456396444
ACeT,NRMSE,0.22685575409285791,0.041421105709458617,0.15019318693795378
Ridge,NRMSE,0.24572885372025938,0.029326607627161928,0.20822538437389518
SVR,NRMSE,0.30462276371580305,0.056648628416820085,0.32473705401099873
Random forest,NRMSE,0.21964871186077004,0.033116968160638215,0.20196383355795497
ACeT,NMAE,0.17602143120233232,0.027076278834087954,0.10808703292510879
Ridge,NMAE,0.19219608632966367,0.0166134993169159,0.15167849688410051
SVR,NMAE,0.24517919146712233,0.058781159613462142,0.23378759526696591
Random forest,NMAE,0.15902121785410506,0.021401058253428022,0.1529172943516019
