endpoint,source,row_id,Heparin_RT,Heparin_pB_buffer,BVP_high,poly_D_lysine,AUCt
clearance,real_training,CLR_000,5.11,4.4,0.0605,2.02,1062.979
clearance,real_training,CLR_001,3.95,3.568359284,0.063021342,1.4,1177.8
clearance,real_training,CLR_002,10.0,6.8,0.0723,3.6,898.37
clearance,real_training,CLR_003,11.1,7.3,0.0639,1.92,792.01
clearance,real_training,CLR_004,10.3,6.9,0.0711,2.19,837.28
clearance,real_training,CLR_005,3.99,4.031545507,0.0631,1.28,529.36
clearance,real_training,CLR_006,6.84,5.2,0.0617,2.59,966.52
clearance,real_training,CLR_007,5.09,4.4,0.0657,1.59,695.866
clearance,real_training,CLR_008,7.95,5.7,0.0615,2.5,963.96
clearance,real_training,CLR_009,3.92,3.45455691,0.0636,2.24,1318.0
clearance,real_training,CLR_010,7.63,5.6,0.0685,1.53,1222.1
clearance,real_training,CLR_011,17.7,10.9,0.072092015,3.644229891,385.51
clearance,real_training,CLR_012,7.76,5.7,0.0631,2.07,767.54
clearance,real_training,CLR_013,18.0,11.2,0.0714,3.03,613.74
clearance,real_training,CLR_014,15.2,9.5,0.0698,2.86,566.96
clearance,real_training,CLR_015,10.2,6.8,0.0763,2.54,550.971
clearance,real_training,CLR_016,8.21,5.9,0.0685,1.84,960.4
clearance,real_training,CLR_017,20.2,11.7374038,0.074495148,3.59,182.07
clearance,real_training,CLR_018,12.2,7.9,0.067973801,4.81,842.54
clearance,real_training,CLR_019,10.2,6.8,0.0714,2.8,754.2
clearance,real_training,CLR_020,9.055235954,6.212247767,0.0645,1.98,1014.2
clearance,real_training,CLR_021,12.7,8.1,0.071682841,3.02,288.73
clearance,real_training,CLR_022,15.6,9.8,0.0666,3.34,683.154
clearance,real_training,CLR_023,3.0,3.763351017,0.0819,1.82,557.94
clearance,real_training,CLR_024,15.0,9.4,0.0674,3.3,841.23
clearance,real_training,CLR_025,9.31,6.4,0.065,2.75,841.78
clearance,real_training,CLR_026,15.7,9.8,0.0711,1.94,712.253
clearance,real_training,CLR_027,11.6,7.6,0.0622,2.03,849.95
clearance,real_training,CLR_028,3.12,3.638457719,0.0622,1.53,585.4
clearance,real_training,CLR_029,3.95,4.039391269,0.0608,1.61,636.6
clearance,real_training,CLR_030,8.9,6.2,0.0699,2.23,958.21
clearance,real_training,CLR_031,10.7,7.1,0.0708,2.545960855,603.66
clearance,real_training,CLR_032,9.7,6.6,0.0641,2.55,503.334
clearance,real_training,CLR_033,13.7,8.7,0.0684,4.18,565.019
clearance,real_training,CLR_034,7.33,5.5,0.0758,2.168966793,536.93
clearance,real_training,CLR_035,14.8,9.0,0.0643,3.16,696.87
clearance,real_training,CLR_036,8.13,5.8,0.0623,1.88,862.26
clearance,real_training,CLR_037,13.9,6.0,0.0651,1.4,974.07
clearance,real_training,CLR_038,14.51233702,9.398152454,0.072920813,4.71781264,408.26
clearance,real_training,CLR_039,5.88,4.8,0.065528218,1.75,970.326
clearance,real_training,CLR_040,11.3,7.3,0.069,3.09,780.58
clearance,real_training,CLR_041,7.0,5.3,0.0664,2.104920523,864.676
clearance,synthetic,clearance_synthetic_000,15.436853420901478,10.794543775511531,0.06647301351888409,2.434925554711165,626.704256691268
clearance,synthetic,clearance_synthetic_001,7.221801984985335,4.61904081273979,0.06613123444401352,1.9221311810020456,987.7746907012427
clearance,synthetic,clearance_synthetic_002,18.49661333986617,8.755701011615725,0.06134991749582775,1.9692626836948623,806.0581140072018
clearance,synthetic,clearance_synthetic_003,5.217362819745137,6.282868594137611,0.06719686512633222,1.8477226276237375,680.893582679847
clearance,synthetic,clearance_synthetic_004,4.03618244972147,6.340403786767763,0.06738820040494492,3.0605172343964298,1098.9931387055556
clearance,synthetic,clearance_synthetic_005,10.063339256523978,7.755526721073087,0.0628347429892765,2.7405401729409857,947.310556244149
clearance,synthetic,clearance_synthetic_006,4.060264626364447,5.474069072017015,0.061840628494947744,1.5410599675337955,801.5807995092925
clearance,synthetic,clearance_synthetic_007,6.454423218320384,5.53891012159235,0.06138911668712471,1.646677569933307,800.3843587345787
clearance,synthetic,clearance_synthetic_008,5.807218978152216,5.775646127243114,0.07967146358757612,2.0944786564872153,743.5010842531021
clearance,synthetic,clearance_synthetic_009,7.06148632930595,6.601465008655301,0.07239332172471159,2.080143290312823,692.1658531564524
clearance,synthetic,clearance_synthetic_010,10.673367958870474,6.283843558660832,0.06797918111750824,2.0773221741478793,578.6507409159487
clearance,synthetic,clearance_synthetic_011,15.192402461382379,5.387667268545814,0.06565875609464879,1.6272760738115712,958.9840418419353
clearance,synthetic,clearance_synthetic_012,14.059822593456358,5.102615568013716,0.06072978653422061,2.9354035362469073,798.9254892490239
clearance,synthetic,clearance_synthetic_013,14.313861709219186,8.93661236159065,0.06789344792890026,2.2820264688838385,692.8109066634154
clearance,synthetic,clearance_synthetic_014,4.917552385636479,3.5540543886121463,0.06592947342089436,2.0707075548004426,1037.1661553136616
clearance,synthetic,clearance_synthetic_015,8.909969398960635,8.453961948655278,0.07760870102020587,2.7250773890946767,245.46570644684482
clearance,synthetic,clearance_synthetic_016,18.51849731965677,10.287224010815263,0.06579294609569315,2.517801535874502,273.46662797695797
clearance,synthetic,clearance_synthetic_017,7.153613558100336,7.197773569329538,0.06377959608575103,1.6784699601583943,667.9232722203897
clearance,synthetic,clearance_synthetic_018,8.315790214389683,7.256090216372317,0.062482904027650756,2.278602031642661,859.3333455900868
