endpoint,source,row_id,DLS Interaction Parameter kD (mL/g),SE-UHPLC Main Peak Plates (EP),AC-SINS λmax (nm),SE-UHPLC Main Peak FWHM (min),Viscosity
viscosity,real_training,VIS_000,30.91938585,5853,2,0.086,9.4
viscosity,real_training,VIS_001,17.05784921,2331,50,0.152,45.0
viscosity,real_training,VIS_002,43.90886439,6209,36,0.082,10.9
viscosity,real_training,VIS_003,31.79865021,4106,40,0.104,26.4
viscosity,real_training,VIS_004,25.23252093,5137,44,0.095,13.9
viscosity,real_training,VIS_005,35.15293123,6239,20,0.081,8.6
viscosity,real_training,VIS_006,38.11585447,5710,0,0.087,8.1
viscosity,real_training,VIS_007,-9.381179345,5164,-2,0.087,19.7
viscosity,real_training,VIS_008,23.88153183,4625,-2,0.103,14.6
viscosity,real_training,VIS_009,22.13486552,5549,0,0.086,7.3
viscosity,real_training,VIS_010,1.699033624,5330,58,0.089,45.9
viscosity,real_training,VIS_011,-1.271482613,3024,36,0.132,45.0
viscosity,real_training,VIS_012,35.83177546,4409,36,0.101,14.8
viscosity,real_training,VIS_013,34.21947166,5895,26,0.084,10.0
viscosity,real_training,VIS_014,-0.698763767,6090,2,0.081,34.2
viscosity,real_training,VIS_015,22.46909434,6008,-2,0.082,16.3
viscosity,real_training,VIS_016,25.06819887,5246,36,0.093,12.4
viscosity,real_training,VIS_017,49.13422809,6126,24,0.082,13.8
viscosity,real_training,VIS_018,27.34316674,4797,44,0.094,21.2
viscosity,real_training,VIS_019,22.47012914,6703,2,0.078,17.6
viscosity,real_training,VIS_020,29.99670572,5818,2,0.084,6.1
viscosity,real_training,VIS_021,39.12598464,5246,0,0.095,8.9
viscosity,real_training,VIS_022,42.91058531,5543,0,0.089,10.3
viscosity,real_training,VIS_023,38.433618,6376,14,0.082,6.0
viscosity,real_training,VIS_024,33.76620215,5024,2,0.09,9.1
viscosity,real_training,VIS_025,17.82752975,5497,18,0.088,22.7
viscosity,real_training,VIS_026,26.22706981,5824,-2,0.084,10.4
viscosity,real_training,VIS_027,6.974018353,5504,22,0.087,21.7
viscosity,real_training,VIS_028,31.56234501,5634,10,0.085,10.3
viscosity,real_training,VIS_029,15.91056147,907,30,0.212,48.8
viscosity,real_training,VIS_030,38.4266892,6289,0,0.082,8.1
viscosity,real_training,VIS_031,6.052595131,5514,2,0.087,31.8
viscosity,real_training,VIS_032,27.95191599,3386,50,0.136,15.0
viscosity,real_training,VIS_033,36.38462805,6041,4,0.085,13.1
viscosity,real_training,VIS_034,21.66480752,4561,36,0.099,16.6
viscosity,real_training,VIS_035,37.82230273,6041,22,0.082,10.5
viscosity,real_training,VIS_036,27.72608335,5349,8,0.093,12.1
viscosity,real_training,VIS_037,17.65658093,1135,40,0.185,27.3
viscosity,real_training,VIS_038,-3.764334794,5669,0,0.085,11.7
viscosity,real_training,VIS_039,34.23423188,5725,6,0.086,5.5
viscosity,real_training,VIS_040,21.51677942,5851,30,0.085,11.9
viscosity,real_training,VIS_041,39.5490345,5615,38,0.087,10.6
viscosity,real_training,VIS_042,32.70658699,6332,4,0.082,10.9
viscosity,real_training,VIS_043,21.06365829,4507,0,0.106,9.9
viscosity,real_training,VIS_044,33.15951616,3137,54,0.119,17.1
viscosity,real_training,VIS_045,23.51061753,6378,0,0.08,11.7
viscosity,real_training,VIS_046,20.23601383,5613,0,0.086,15.3
viscosity,real_training,VIS_047,12.09586296,7754,2,0.072,8.9
viscosity,real_training,VIS_048,23.18706601,3870,2,0.118,9.3
viscosity,real_training,VIS_049,30.47182235,4954,0,0.09,14.6
viscosity,real_training,VIS_050,43.97650114,5242,0,0.09,12.0
viscosity,real_training,VIS_051,5.841119405,5727,24,0.088,21.8
viscosity,synthetic,viscosity_synthetic_000,36.94566175159606,6269,30,0.07853418729610769,6.322492845923129
viscosity,synthetic,viscosity_synthetic_001,29.3484787105411,4463,8,0.10800687054358785,21.060709677476844
viscosity,synthetic,viscosity_synthetic_002,42.99635408988776,5524,57,0.09230643549732394,6.1032700649824205
viscosity,synthetic,viscosity_synthetic_003,14.61007744376623,5283,13,0.08987176296685946,17.143918822951996
viscosity,synthetic,viscosity_synthetic_004,29.862737140561038,3906,-2,0.10546570451329107,10.320991808145045
viscosity,synthetic,viscosity_synthetic_005,36.82234622245845,4656,19,0.09923237763283897,6.2315005954744604
viscosity,synthetic,viscosity_synthetic_006,12.365374780484586,4232,50,0.10477860969624217,17.398229689642672
viscosity,synthetic,viscosity_synthetic_007,20.94921884757595,4428,53,0.10576862042298005,9.567682262337991
viscosity,synthetic,viscosity_synthetic_008,19.39722905924394,5879,-2,0.08356549121236223,40.544358592188374
viscosity,synthetic,viscosity_synthetic_009,21.045194182069068,5718,0,0.08538221100089108,20.678325153929805
viscosity,synthetic,viscosity_synthetic_010,22.023271062064097,5903,15,0.08618197473558521,10.023955920785724
viscosity,synthetic,viscosity_synthetic_011,39.07382443462235,5201,37,0.09990920344026515,24.072002315369964
viscosity,synthetic,viscosity_synthetic_012,34.062142206344745,4501,49,0.11487989531332939,6.000506935366669
viscosity,synthetic,viscosity_synthetic_013,34.94776742922129,6024,18,0.08263135616001016,7.92907781012887
viscosity,synthetic,viscosity_synthetic_014,21.504597250652523,3683,0,0.131103012718317,23.5158983261695
viscosity,synthetic,viscosity_synthetic_015,7.776260764663533,6937,-2,0.0748160589222753,9.155909756777934
viscosity,synthetic,viscosity_synthetic_016,30.081287558320113,6978,46,0.07566181062687438,6.011434860242783
viscosity,synthetic,viscosity_synthetic_017,19.6165890703723,5315,44,0.08977011257677896,12.279717671597712
viscosity,synthetic,viscosity_synthetic_018,30.56992288391551,4709,31,0.09848780418707584,6.634477299903903
viscosity,synthetic,viscosity_synthetic_019,23.123170999223518,2753,42,0.14457456989519707,48.75682232020593
viscosity,synthetic,viscosity_synthetic_020,31.257533596894703,2348,5,0.15744714496406054,6.901092190863872
viscosity,synthetic,viscosity_synthetic_021,12.68358149820017,4200,21,0.11938439042149887,25.934678613528188
viscosity,synthetic,viscosity_synthetic_022,22.840519069660232,2025,58,0.16024367858870397,48.503073500699784
viscosity,synthetic,viscosity_synthetic_023,42.604355944139755,3667,-1,0.11590721149163452,13.099281546565688
viscosity,synthetic,viscosity_synthetic_024,24.71642015967801,6213,-2,0.08253298863374328,19.624041109934804
viscosity,synthetic,viscosity_synthetic_025,-5.27658493670252,1468,56,0.20240614503043913,48.8
