endpoint,mode,pooling,fold,split,n,r2,rmse,mae,spearman,elapsed_seconds,ensemble_folds
clearance,full,avg,1,cv_validation,34,0.296283808962987,173.69050534324933,136.2638168155446,0.5349530155424566,17.46412229537964,
clearance,full,avg,2,cv_validation,34,0.5775876983941037,140.3521900390179,107.74964160156253,0.564702287058131,34.29865550994873,
clearance,full,avg,3,cv_validation,34,0.4412852164004881,170.2671920891936,136.3112756204044,0.684500160855368,51.11052370071411,
clearance,full,avg,4,cv_validation,33,0.4456253114734664,209.20466138710268,151.44635395951704,0.6766427018893161,69.84254121780396,
clearance,full,avg,5,cv_validation,33,0.3528626790325573,174.9864631689983,143.97998188920457,0.7032856809128933,79.4402220249176,
clearance,full,avg,ensemble,heldout_test,11,0.7979450607387009,111.12206782263546,82.1476787331321,0.9090909090909091,79.77194452285767,5.0
clearance,full,max,1,cv_validation,34,0.38563642754027394,162.2893555227524,123.28780271283321,0.6021850426314828,18.763216495513916,
clearance,full,max,2,cv_validation,34,0.3194105768091816,178.15315292292118,122.57582217945773,0.521553041883216,30.05331063270569,
clearance,full,max,3,cv_validation,34,0.5495930012582568,152.87569967546162,119.92958386948527,0.7023846000737867,38.95687246322632,
clearance,full,max,4,cv_validation,33,0.40293626531681537,217.11008982527676,168.10612943152225,0.7683428932781814,45.16865086555481,
clearance,full,max,5,cv_validation,33,0.37239531542572735,172.3254091163642,137.8868097182765,0.730830359980013,53.296135902404785,
clearance,full,max,ensemble,heldout_test,11,0.7079325784897952,133.60020884410596,110.2974031871449,0.8727272727272729,53.54553961753845,5.0
clearance,full,flatten,1,cv_validation,34,0.18416518621089029,187.01585365021398,135.81486616426355,0.5308274138801753,7.3233397006988525,
clearance,full,flatten,2,cv_validation,34,0.3916571816603933,168.43219475260057,121.17330745921414,0.5576276368083154,15.44638967514038,
clearance,full,flatten,3,cv_validation,34,0.5112473698691149,159.25036863450225,125.0845945973116,0.6821030108512915,29.812097549438477,
clearance,full,flatten,4,cv_validation,33,0.6231110079300775,172.49495074022843,139.31980429539536,0.8475171376024074,41.35678720474243,
clearance,full,flatten,5,cv_validation,33,-0.002283507567171439,217.7717404261975,176.01598140092332,0.7166750693645684,48.617027759552,
clearance,full,flatten,ensemble,heldout_test,11,0.5788938515159416,160.42105569567298,115.52864042524858,0.7727272727272727,48.863337993621826,5.0
clearance,full,avgmax,1,cv_validation,34,0.1618282119864568,189.55874576074473,141.87588704187735,0.49598899984313444,7.283235549926758,
clearance,full,avgmax,2,cv_validation,34,0.3622767293461199,172.45152825550127,125.26955072380512,0.5551819015591561,16.91345763206482,
clearance,full,avgmax,3,cv_validation,34,0.48226392673070095,163.90420865829813,137.52877996467143,0.6775179581231852,28.171056032180786,
clearance,full,avgmax,4,cv_validation,33,0.5122979151400738,196.22166951711878,143.37749058948864,0.7819762581508108,37.72739911079407,
clearance,full,avgmax,5,cv_validation,33,-0.03191084441095793,220.96694847788842,173.28502589370268,0.6668896414314388,52.233548402786255,
clearance,full,avgmax,ensemble,heldout_test,11,0.6317452217083538,150.0167574473513,126.69511137251419,0.790909090909091,52.5772123336792,5.0
