endpoint,mode,pooling,fold,split,n,r2,rmse,mae,spearman,elapsed_seconds,ensemble_folds
viscosity,full,avg,1,cv_validation,26,0.6522061490951909,5.877522649546407,3.712917826725886,0.7617254364943512,14.746009588241577,
viscosity,full,avg,2,cv_validation,26,0.5533643157599238,6.032167040208772,4.530982692425068,0.7137718815563848,28.224220275878906,
viscosity,full,avg,3,cv_validation,26,0.2935720210784537,9.441135215491121,5.716340945317195,0.842465951038199,44.95682954788208,
viscosity,full,avg,4,cv_validation,26,0.8019968431455587,5.202785448688163,3.719155128185565,0.9033031109529159,60.11310958862305,
viscosity,full,avg,5,cv_validation,26,0.8039674134082062,4.447202678722064,3.36887339078463,0.7301370291176259,67.06774735450745,
viscosity,full,avg,ensemble,heldout_test,23,0.740886152354125,4.766305895799887,3.0832332611083983,0.8759268413247651,67.4178249835968,5.0
viscosity,full,max,1,cv_validation,26,0.5012485894009222,7.038424076678222,4.386849517088669,0.7398151318041766,16.276134967803955,
viscosity,full,max,2,cv_validation,26,0.5856926689870392,5.809756883420536,4.3380861208989066,0.7136255125485516,30.670587301254272,
viscosity,full,max,3,cv_validation,26,0.6600327644675765,6.549509911104968,4.864623150458702,0.8350746092781757,48.07868027687073,
viscosity,full,max,4,cv_validation,26,0.8074502477083141,5.130637626588626,3.499019200985248,0.8720236195731643,64.33391332626343,
viscosity,full,max,5,cv_validation,26,0.7135734215639391,5.375630941129764,3.9977540603050823,0.7443532263417207,70.89996194839478,
viscosity,full,max,ensemble,heldout_test,23,0.67782467628754,5.314748726331638,3.4677176185276197,0.8302026693030153,71.2173981666565,5.0
viscosity,full,flatten,1,cv_validation,26,0.7927186797314207,4.537466637721245,2.917183296497051,0.8296524689299313,7.416665315628052,
viscosity,full,flatten,2,cv_validation,26,0.630231208018465,5.488602478353956,3.96728338094858,0.7078979862514521,21.753458738327026,
viscosity,full,flatten,3,cv_validation,26,0.69694282100828,6.183759063763718,4.740085000258225,0.8020904729266621,28.32611083984375,
viscosity,full,flatten,4,cv_validation,26,0.7727252432656839,5.574109045266067,4.381432452568641,0.8350445389764591,46.58425736427307,
viscosity,full,flatten,5,cv_validation,26,0.6038721934288473,6.321795631765691,4.335537066826454,0.7402397694360922,52.63032531738281,
viscosity,full,flatten,ensemble,heldout_test,23,0.643397683770053,5.591504510968821,3.7641920006793477,0.797477842334456,52.95381140708923,5.0
viscosity,full,avgmax,1,cv_validation,26,0.7154072602513326,5.3167381287270095,3.4912319916945234,0.8355636425954635,7.549673318862915,
viscosity,full,avgmax,2,cv_validation,26,0.6798158343815541,5.107361229795103,3.719855433243971,0.7684012774839166,20.210522890090942,
viscosity,full,avgmax,3,cv_validation,26,0.565404258265142,7.405135422233045,5.081777917421781,0.7913669529134864,38.76967453956604,
viscosity,full,avgmax,4,cv_validation,26,0.8719947126524171,4.183249945969758,3.5749097163860615,0.8596851975036334,53.701274394989014,
viscosity,full,avgmax,5,cv_validation,26,0.5552396736513672,6.698627184246249,4.602320208916297,0.716658116991476,59.98479151725769,
viscosity,full,avgmax,ensemble,heldout_test,23,0.6731770812507769,5.352945871466047,3.675977176168691,0.8232385912880161,60.35076856613159,5.0
