source_log,head,fold,epoch,max_epochs,loss,val_loss,lr
primary_mouse_exposure_training_record,spline,1,1,1000,0.1919,0.1285,0.001
primary_mouse_exposure_training_record,spline,1,2,1000,0.1442,0.1501,0.001
primary_mouse_exposure_training_record,spline,1,3,1000,0.138,0.1227,0.001
primary_mouse_exposure_training_record,spline,1,4,1000,0.1286,0.1268,0.001
primary_mouse_exposure_training_record,spline,1,5,1000,0.1218,0.1225,0.001
primary_mouse_exposure_training_record,spline,1,6,1000,0.1178,0.1123,0.001
primary_mouse_exposure_training_record,spline,1,7,1000,0.1144,0.1176,0.001
primary_mouse_exposure_training_record,spline,1,8,1000,0.1116,0.1114,0.001
primary_mouse_exposure_training_record,spline,1,9,1000,0.1088,0.1115,0.001
primary_mouse_exposure_training_record,spline,1,10,1000,0.1072,0.1067,0.001
primary_mouse_exposure_training_record,spline,1,11,1000,0.1057,0.1053,0.001
primary_mouse_exposure_training_record,spline,1,12,1000,0.1035,0.1016,0.001
primary_mouse_exposure_training_record,spline,1,13,1000,0.1012,0.1055,0.001
primary_mouse_exposure_training_record,spline,1,14,1000,0.0997,0.1007,0.001
primary_mouse_exposure_training_record,spline,1,15,1000,0.0988,0.0986,0.001
primary_mouse_exposure_training_record,spline,1,16,1000,0.0968,0.0968,0.001
primary_mouse_exposure_training_record,spline,1,17,1000,0.0964,0.0979,0.001
primary_mouse_exposure_training_record,spline,1,18,1000,0.0955,0.0953,0.001
primary_mouse_exposure_training_record,spline,1,19,1000,0.0934,0.0912,0.001
primary_mouse_exposure_training_record,spline,1,20,1000,0.0918,0.1002,0.001
primary_mouse_exposure_training_record,spline,1,21,1000,0.0906,0.0926,0.001
primary_mouse_exposure_training_record,spline,1,22,1000,0.091,0.0913,0.001
primary_mouse_exposure_training_record,spline,1,23,1000,0.0885,0.0984,0.001
primary_mouse_exposure_training_record,spline,1,24,1000,0.0893,0.0877,0.001
primary_mouse_exposure_training_record,spline,1,25,1000,0.0878,0.0889,0.001
primary_mouse_exposure_training_record,spline,1,26,1000,0.0885,0.0915,0.001
primary_mouse_exposure_training_record,spline,1,27,1000,0.0842,0.0875,0.001
primary_mouse_exposure_training_record,spline,1,28,1000,0.0842,0.0884,0.001
primary_mouse_exposure_training_record,spline,1,29,1000,0.0841,0.0869,0.001
