source_log,head,fold,epoch,max_epochs,loss,val_loss,lr
primary_viscosity_training_record,kan,1,1,1000,0.2453,0.1062,0.001
primary_viscosity_training_record,kan,1,2,1000,0.1079,0.0761,0.001
primary_viscosity_training_record,kan,1,3,1000,0.0924,0.0996,0.001
primary_viscosity_training_record,kan,1,4,1000,0.1018,0.0892,0.001
primary_viscosity_training_record,kan,1,5,1000,0.0884,0.0747,0.001
primary_viscosity_training_record,kan,1,6,1000,0.0805,0.0694,0.001
primary_viscosity_training_record,kan,1,7,1000,0.0797,0.0669,0.001
primary_viscosity_training_record,kan,1,8,1000,0.0767,0.0629,0.001
primary_viscosity_training_record,kan,1,9,1000,0.0706,0.0633,0.001
primary_viscosity_training_record,kan,1,10,1000,0.0683,0.065,0.001
primary_viscosity_training_record,kan,1,11,1000,0.0681,0.0614,0.001
primary_viscosity_training_record,kan,1,12,1000,0.0652,0.058,0.001
primary_viscosity_training_record,kan,1,13,1000,0.0648,0.0574,0.001
primary_viscosity_training_record,kan,1,14,1000,0.0638,0.0574,0.001
primary_viscosity_training_record,kan,1,15,1000,0.0633,0.06,0.001
primary_viscosity_training_record,kan,1,16,1000,0.0628,0.0576,0.001
primary_viscosity_training_record,kan,1,17,1000,0.0614,0.0563,0.001
primary_viscosity_training_record,kan,1,18,1000,0.0609,0.0556,0.001
primary_viscosity_training_record,kan,1,19,1000,0.0606,0.0555,0.001
primary_viscosity_training_record,kan,1,20,1000,0.0598,0.0566,0.001
primary_viscosity_training_record,kan,1,21,1000,0.0595,0.0564,0.001
primary_viscosity_training_record,kan,1,22,1000,0.0591,0.0554,0.001
primary_viscosity_training_record,kan,1,23,1000,0.0586,0.0549,0.001
primary_viscosity_training_record,kan,1,24,1000,0.058,0.0557,0.001
primary_viscosity_training_record,kan,1,25,1000,0.0579,0.0551,0.001
primary_viscosity_training_record,kan,1,26,1000,0.0573,0.0552,0.001
primary_viscosity_training_record,kan,1,27,1000,0.057,0.0544,0.001
primary_viscosity_training_record,kan,1,28,1000,0.0566,0.0549,0.001
primary_viscosity_training_record,kan,1,29,1000,0.0562,0.0539,0.001
primary_viscosity_training_record,kan,1,30,1000,0.0559,0.0532,0.001
primary_viscosity_training_record,kan,1,31,1000,0.0557,0.054,0.001
primary_viscosity_training_record,kan,1,32,1000,0.0551,0.0534,0.001
primary_viscosity_training_record,kan,1,33,1000,0.0548,0.0526,0.001
primary_viscosity_training_record,kan,1,34,1000,0.0544,0.0533,0.001
primary_viscosity_training_record,kan,1,35,1000,0.0541,0.0536,0.001
primary_viscosity_training_record,kan,1,36,1000,0.0539,0.0535,0.001
primary_viscosity_training_record,kan,1,37,1000,0.0535,0.0513,0.001
primary_viscosity_training_record,kan,1,38,1000,0.0531,0.0518,0.001
primary_viscosity_training_record,kan,1,39,1000,0.0527,0.0523,0.001
primary_viscosity_training_record,kan,1,40,1000,0.0524,0.0521,0.001
primary_viscosity_training_record,kan,1,41,1000,0.052,0.0515,0.001
primary_viscosity_training_record,kan,1,42,1000,0.052,0.0516,0.001
primary_viscosity_training_record,kan,1,43,1000,0.0514,0.0498,0.001
primary_viscosity_training_record,kan,1,44,1000,0.0511,0.0514,0.001
primary_viscosity_training_record,kan,1,45,1000,0.051,0.0511,0.001
primary_viscosity_training_record,kan,1,46,1000,0.0506,0.049,0.001
primary_viscosity_training_record,kan,1,47,1000,0.05,0.0507,0.001
primary_viscosity_training_record,kan,1,48,1000,0.0501,0.0521,0.001
primary_viscosity_training_record,kan,1,49,1000,0.0501,0.0482,0.001
primary_viscosity_training_record,kan,1,50,1000,0.0493,0.0499,0.001
primary_viscosity_training_record,kan,1,51,1000,0.0486,0.0511,0.001
primary_viscosity_training_record,kan,1,52,1000,0.0485,0.0493,0.001
primary_viscosity_training_record,kan,1,53,1000,0.0482,0.0482,0.001
primary_viscosity_training_record,kan,1,54,1000,0.0476,0.0497,0.001
primary_viscosity_training_record,kan,1,55,1000,0.0477,0.049,0.001
primary_viscosity_training_record,kan,1,56,1000,0.0471,0.0488,0.001
primary_viscosity_training_record,kan,1,57,1000,0.0468,0.0473,0.001
primary_viscosity_training_record,kan,1,58,1000,0.0466,0.0479,0.001
primary_viscosity_training_record,kan,1,59,1000,0.0459,0.0493,0.001
primary_viscosity_training_record,kan,1,60,1000,0.0459,0.0473,0.001
primary_viscosity_training_record,kan,1,61,1000,0.0455,0.0466,0.001
primary_viscosity_training_record,kan,1,62,1000,0.0454,0.0472,0.001
primary_viscosity_training_record,kan,1,63,1000,0.0449,0.0459,0.001
primary_viscosity_training_record,kan,1,64,1000,0.0446,0.0472,0.001
primary_viscosity_training_record,kan,1,65,1000,0.0443,0.0466,0.001
primary_viscosity_training_record,kan,1,66,1000,0.0441,0.0455,0.001
primary_viscosity_training_record,kan,1,67,1000,0.0438,0.0465,0.001
primary_viscosity_training_record,kan,1,68,1000,0.0437,0.0453,0.001
primary_viscosity_training_record,kan,1,69,1000,0.0434,0.0464,0.001
primary_viscosity_training_record,kan,1,70,1000,0.0428,0.0448,0.001
primary_viscosity_training_record,kan,1,71,1000,0.0426,0.0449,0.001
primary_viscosity_training_record,kan,1,72,1000,0.0424,0.0462,0.001
primary_viscosity_training_record,kan,1,73,1000,0.042,0.0449,0.001
primary_viscosity_training_record,kan,1,74,1000,0.0423,0.0438,0.001
primary_viscosity_training_record,kan,1,75,1000,0.0417,0.0462,0.001
primary_viscosity_training_record,kan,1,76,1000,0.0415,0.0439,0.001
primary_viscosity_training_record,kan,1,77,1000,0.041,0.0442,0.001
primary_viscosity_training_record,kan,1,78,1000,0.0409,0.0439,0.001
primary_viscosity_training_record,kan,1,79,1000,0.0409,0.045,0.001
primary_viscosity_training_record,kan,1,80,1000,0.04,0.0432,0.001
primary_viscosity_training_record,kan,1,81,1000,0.0405,0.0432,0.001
primary_viscosity_training_record,kan,1,82,1000,0.0398,0.0454,0.001
primary_viscosity_training_record,kan,1,83,1000,0.0396,0.0433,0.001
primary_viscosity_training_record,kan,1,84,1000,0.0396,0.0424,0.001
primary_viscosity_training_record,kan,1,85,1000,0.0391,0.044,0.001
primary_viscosity_training_record,kan,1,86,1000,0.0393,0.044,0.001
primary_viscosity_training_record,kan,1,87,1000,0.0384,0.0414,0.001
primary_viscosity_training_record,kan,1,88,1000,0.039,0.0427,0.001
primary_viscosity_training_record,kan,1,89,1000,0.0386,0.0445,0.001
primary_viscosity_training_record,kan,1,90,1000,0.038,0.0416,0.001
primary_viscosity_training_record,kan,1,91,1000,0.0379,0.0419,0.001
primary_viscosity_training_record,kan,1,92,1000,0.0376,0.0436,0.001
primary_viscosity_training_record,kan,1,93,1000,0.0373,0.0419,0.001
primary_viscosity_training_record,kan,1,94,1000,0.0373,0.0409,0.001
primary_viscosity_training_record,kan,1,95,1000,0.0371,0.0432,0.001
primary_viscosity_training_record,kan,1,96,1000,0.0368,0.042,0.001
primary_viscosity_training_record,kan,1,97,1000,0.0364,0.0407,0.001
