Heparin_RT,Heparin_pB_buffer,BVP_high,poly_D_lysine,AUCt
3.27,3.230028133,0.0617,1.33,1240.5
7.76,5.7,0.0631,2.07,767.54
15.0,9.4,0.0674,3.3,841.23
9.31,6.4,0.065,2.75,841.78
3.0,3.763351017,0.0819,1.82,557.94
3.99,4.031545507,0.0631,1.28,529.36
17.7,10.9,0.072092015,3.644229891,385.51
9.055235954,6.212247767,0.0645,1.98,1014.2
11.3,7.3,0.069,3.09,780.58
18.0,11.2,0.0714,3.03,613.74
7.95,5.7,0.0615,2.5,963.96
12.2,7.9,0.067973801,4.81,842.54
15.7,9.8,0.0711,1.94,712.253
15.7,9.9,0.0643,3.482080021,739.34
5.08,4.4,0.0612,2.09,869.345
10.0,6.8,0.0723,3.6,898.37
7.63,5.6,0.0685,1.53,1222.1
14.51233702,9.398152454,0.072920813,4.71781264,408.26
5.09,4.4,0.0657,1.59,695.866
10.3,6.9,0.0711,2.19,837.28
10.7,7.1,0.0708,2.545960855,603.66
5.88,4.8,0.065528218,1.75,970.326
14.8,9.0,0.0643,3.16,696.87
8.9,6.2,0.0699,2.23,958.21
5.85,4.9,0.0773,2.45,718.47
6.84,5.2,0.0617,2.59,966.52
13.9,6.0,0.0651,1.4,974.07
7.45,5.5,0.0611,1.99,1003.3
3.95,4.039391269,0.0608,1.61,636.6
13.7,8.7,0.0684,4.18,565.019
3.95,3.568359284,0.063021342,1.4,1177.8
20.1,11.75547214,0.0751,3.85,272.12
9.7,6.6,0.0641,2.55,503.334
11.6,7.6,0.0622,2.03,849.95
13.1,8.4,0.0668,3.11,752.3
10.2,6.8,0.0763,2.54,550.971
11.1,7.3,0.0639,1.92,792.01
9.18,6.3,0.0632,1.26,565.019
12.7,8.1,0.071682841,3.02,288.73
7.0,5.3,0.0664,2.104920523,864.676
12.1,7.8,0.0687,2.54,469.068
10.4,6.9,0.06703065,2.03,819.42
