DLS Interaction Parameter kD (mL/g),SE-UHPLC Main Peak Plates (EP),AC-SINS λmax (nm),SE-UHPLC Main Peak FWHM (min),Viscosity
-3.764334794,5669,0,0.085,11.7
1.56234145,5491,-2,0.085,25.9
21.66480752,4561,36,0.099,16.6
5.841119405,5727,24,0.088,21.8
21.06365829,4507,0,0.106,9.9
43.42111781,5963,18,0.083,9.1
18.16243663,2458,42,0.151,25.6
18.10874581,5472,2,0.09,11.4
-1.563440414,5637,4,0.084,30.1
39.5490345,5615,38,0.087,10.6
24.38684351,6008,-2,0.082,8.4
30.47182235,4954,0,0.09,14.6
15.71169571,3058,40,0.119,15.2
34.21947166,5895,26,0.084,10.0
34.47857045,5325,48,0.088,13.9
36.38462805,6041,4,0.085,13.1
14.44466976,6749,42,0.078,10.4
31.79865021,4106,40,0.104,26.4
23.90402936,4662,0,0.104,12.6
17.65658093,1135,40,0.185,27.3
23.18706601,3870,2,0.118,9.3
31.56234501,5634,10,0.085,10.3
15.91056147,907,30,0.212,48.8
35.83177546,4409,36,0.101,14.8
32.06014622,4455,8,0.106,15.0
9.182518246,4268,34,0.102,42.1
27.34316674,4797,44,0.094,21.2
38.4266892,6289,0,0.082,8.1
36.46267807,5722,18,0.086,10.8
23.77929008,5926,2,0.085,7.6
33.15951616,3137,54,0.119,17.1
6.052595131,5514,2,0.087,31.8
27.72608335,5349,8,0.093,12.1
38.433618,6376,14,0.082,6.0
25.23252093,5137,44,0.095,13.9
33.76620215,5024,2,0.09,9.1
23.88153183,4625,-2,0.103,14.6
39.12598464,5246,0,0.095,8.9
12.09586296,7754,2,0.072,8.9
17.82752975,5497,18,0.088,22.7
27.95191599,3386,50,0.136,15.0
37.82230273,6041,22,0.082,10.5
43.97650114,5242,0,0.09,12.0
-2.995752324,5592,-2,0.085,17.8
38.11585447,5710,0,0.087,8.1
34.23423188,5725,6,0.086,5.5
25.06819887,5246,36,0.093,12.4
26.22706981,5824,-2,0.084,10.4
27.35986799,2940,36,0.135,20.1
38.1016525,5627,30,0.089,10.8
20.23601383,5613,0,0.086,15.3
33.32713191,5590,28,0.087,11.9
