Name,AS,PSR,ACSINS,ELISA,BVP ,Updated.Status
bavituximab,0.04,0.56,29.9,1.32,1.69,Terminated
codrituzumab,0.26,0.15,-0.3,9.42,14.87,Terminated
crenezumab,0.05,0.1,6.4,1.13,2.78,Terminated
etrolizumab,0.2,0.42,2,2.18,4.23,Terminated
fresolimumab,0.06,0,-0.5,1.3,3.51,Terminated
ganitumab,0.01,0.55,4.8,1.3,4.91,Terminated
gantenerumab,0.07,0.55,7,13.82,22.75,Terminated
gevokizumab,0.07,0,-0.5,1.18,1.93,Terminated
lebrikizumab,0,0,0.3,0.96,1.46,Approved
lirilumab,0,0.18,21,1.27,3.55,Terminated
olokizumab,0.04,0,-0.5,1.11,1.23,Approved
otelixizumab,0.09,0,4.4,1.13,1.4,Terminated
panobacumab,0.02,0,-0.4,1.21,1.9,Terminated
urelumab,0.01,0,29.6,1.15,1.53,Terminated
