AS,PSR,ACSINS,ELISA,BVP,Outcome
0.06,0.07,15,1.29,6.2,Approved
0.01,0.11,1.8,0.95,1.63,Approved
0.03,0.15,10.8,8.69,19.27,Approved
0.06,0.42,22,1.88,4.8,Terminated
0.04,0,0.7,1.2,2.55,Approved
0.3,0.17,28.9,1.06,2.22,Terminated
0.03,0,-1,1.01,1.47,Approved
0.06,0.33,29.6,8.54,9.63,Terminated
0.02,0,1.3,1.05,1.31,Approved
0.03,0,1.2,1.12,1.18,Approved
0.04,0.18,2.3,1.41,3.94,Approved
0.04,0,-1,1.13,1.05,Approved
0.02,0.15,0.4,2.18,5.07,Approved
0,0.13,3.4,1.26,3.29,Terminated
0.07,0.26,2.5,1.15,2.15,Terminated
0.06,0.23,23,1.31,2.71,Approved
0.22,0,0.8,1.29,2.78,Approved
0.06,0,2,1.26,3.68,Terminated
0.04,0.23,10.4,1.05,1.69,Approved
0.07,0,2.3,1.17,1.78,Terminated
0.07,0.14,1.4,1.14,2.22,Terminated
0.04,0.64,29.6,3.3,8.33,Terminated
0.07,0,0.9,5.01,11.77,Terminated
0.02,0,-0.9,1.06,1.03,Terminated
0.01,0,2.6,1.18,1.55,Approved
0.05,0,1.3,1.14,2.81,Approved
0.16,0.07,-0.2,3.13,6.62,Terminated
0.03,0.13,3,1.47,2.34,Terminated
0.07,0.19,11.6,1.85,6.92,Terminated
0.05,0.4,28.8,1.2,2.14,Approved
0.02,0,0.8,1.06,1.52,Approved
0.06,0.77,27.7,2.03,4.45,Terminated
0.03,0,1.1,1.21,3.81,Terminated
0.03,0,29.6,1.1,1.48,Terminated
-0.01,0,0.8,1.19,1.77,Approved
0.29,0.48,0.3,1.32,2.58,Approved
0.19,0.47,3.4,1.54,5.87,Approved
0.04,0,-0.5,1.12,2.17,Approved
0.04,0,4.8,0.89,1.21,Terminated
0.04,0,-0.3,0.99,1.13,Approved
0.04,0,0.2,1.14,1.65,Approved
0.01,0,5.9,5.92,17.75,Approved
0.05,0.27,29.6,5.22,8.25,Terminated
0.04,0,0,1.12,1.19,Terminated
0.07,0.21,-0.4,2.76,8.88,Terminated
0.07,0,0.4,1.15,1.58,Approved
0.04,0,2,1.06,1.34,Approved
0.03,0.25,4,3.18,5.4,Approved
0.01,0.06,2.1,2.6,2.5,Terminated
0.06,0.17,1.5,1.14,2.72,Terminated
0.15,0.4,13.7,2.9,8.25,Terminated
0.04,0,-0.2,1.21,1.69,Approved
0.05,0,1.3,1.09,1.09,Approved
0.05,0,-0.8,1.28,2.9,Terminated
0.07,0,-0.7,1.21,3.55,Terminated
0.06,0,1.8,1.21,3.15,Approved
0.02,0.27,11.2,1.48,2.93,Approved
0.05,0,0.9,1.05,1.25,Terminated
0.07,0.76,29.6,13.5,18.88,Terminated
0.03,0,1.2,1.2,2.18,Approved
0.03,0.14,2.4,1.15,1.32,Approved
0.16,0.66,29.6,3.77,11.9,Terminated
0.03,0,-0.1,1.18,1.41,Approved
0.03,0.13,1.5,1.1,1.46,Terminated
0.06,0.31,11.2,1.67,3.84,Approved
0.02,0,-0.1,1.02,1.41,Terminated
0.09,0.13,7.4,10.05,17.4,Terminated
0.01,0.3,3.6,1.03,1.69,Approved
0.05,0,-0.6,1.09,1.69,Approved
0.05,0,-0.4,1.12,1.17,Approved
0.13,0,0.8,3.61,12.23,Approved
0.16,0.81,20,8.8,10.4,Approved
0.06,0,-0.8,1.16,1.46,Approved
0.09,0.13,1.5,1.17,3.24,Terminated
0,0,0.7,0.98,1.24,Approved
0.09,0,0.5,1.11,1.34,Terminated
0.04,0,-0.9,1.12,2.88,Approved
0.06,0.38,29.6,2.89,5.65,Terminated
0.18,0,29.6,1.04,1.37,Approved
0,0,0,1.08,1.34,Terminated
0.03,0.38,2.1,1.19,2.93,Approved
0.03,0.2,2.2,1.75,1.75,Approved
0.03,0.3,5.6,1.28,2.23,Approved
0.04,0,2.5,1.23,5.36,Terminated
0.02,0.35,6,1.23,1.42,Approved
0.07,0.01,0.6,1.27,2.49,Terminated
0.02,0,0,1.05,1.25,Approved
0.02,0.15,29.6,1.21,1.97,Approved
0.09,0,7.9,1.61,3.14,Approved
