Name,AS,PSR,ACSINS,ELISA,BVP,Outcome
atezolizumab,0.06,0.07,15.0,1.29,6.2,Approved
obinutuzumab,0.01,0.11,1.8,0.95,1.63,Approved
dupilumab,0.03,0.15,10.8,8.69,19.27,Approved
visilizumab,0.06,0.42,22.0,1.88,4.8,Terminated
canakinumab,0.04,0.0,0.7,1.2,2.55,Approved
glembatumumab,0.3,0.17,28.9,1.06,2.22,Terminated
romosozumab,0.03,0.0,-1.0,1.01,1.47,Approved
duligotuzumab,0.06,0.33,29.6,8.54,9.63,Terminated
necitumumab,0.02,0.0,1.3,1.05,1.31,Approved
ofatumumab,0.03,0.0,1.2,1.12,1.18,Approved
muromonab,0.04,0.18,2.3,1.41,3.94,Approved
mepolizumab,0.04,0.0,-1.0,1.13,1.05,Approved
ustekinumab,0.02,0.15,0.4,2.18,5.07,Approved
radretumab,0.0,0.13,3.4,1.26,3.29,Terminated
fezakinumab,0.07,0.26,2.5,1.15,2.15,Terminated
golimumab,0.06,0.23,23.0,1.31,2.71,Approved
bevacizumab,0.22,0.0,0.8,1.29,2.78,Approved
tabalumab,0.06,0.0,2.0,1.26,3.68,Terminated
ipilimumab,0.04,0.23,10.4,1.05,1.69,Approved
otlertuzumab,0.07,0.0,2.3,1.17,1.78,Terminated
lumiliximab,0.07,0.14,1.4,1.14,2.22,Terminated
emibetuzumab,0.04,0.64,29.6,3.3,8.33,Terminated
imgatuzumab,0.07,0.0,0.9,5.01,11.77,Terminated
matuzumab,0.02,0.0,-0.9,1.06,1.03,Terminated
siltuximab,0.01,0.0,2.6,1.18,1.55,Approved
tocilizumab,0.05,0.0,1.3,1.14,2.81,Approved
ponezumab,0.16,0.07,-0.2,3.13,6.62,Terminated
epratuzumab,0.03,0.13,3.0,1.47,2.34,Terminated
fulranumab,0.07,0.19,11.6,1.85,6.92,Terminated
basiliximab,0.05,0.4,28.8,1.2,2.14,Approved
natalizumab,0.02,0.0,0.8,1.06,1.52,Approved
ozanezumab,0.06,0.77,27.7,2.03,4.45,Terminated
galiximab,0.03,0.0,1.1,1.21,3.81,Terminated
drozitumab,0.03,0.0,29.6,1.1,1.48,Terminated
tildrakizumab,-0.01,0.0,0.8,1.19,1.77,Approved
olaratumab,0.29,0.48,0.3,1.32,2.58,Approved
guselkumab,0.19,0.47,3.4,1.54,5.87,Approved
mogamulizumab,0.04,0.0,-0.5,1.12,2.17,Approved
veltuzumab,0.04,0.0,4.8,0.89,1.21,Terminated
ibalizumab,0.04,0.0,-0.3,0.99,1.13,Approved
certolizumab,0.04,0.0,0.2,1.14,1.65,Approved
denosumab,0.01,0.0,5.9,5.92,17.75,Approved
robatumumab,0.05,0.27,29.6,5.22,8.25,Terminated
onartuzumab,0.04,0.0,0.0,1.12,1.19,Terminated
carlumab,0.07,0.21,-0.4,2.76,8.88,Terminated
vedolizumab,0.07,0.0,0.4,1.15,1.58,Approved
trastuzumab,0.04,0.0,2.0,1.06,1.34,Approved
inotuzumab,0.03,0.25,4.0,3.18,5.4,Approved
sifalimumab,0.01,0.06,2.1,2.6,2.5,Terminated
abituzumab,0.06,0.17,1.5,1.14,2.72,Terminated
dalotuzumab,0.15,0.4,13.7,2.9,8.25,Terminated
pertuzumab,0.04,0.0,-0.2,1.21,1.69,Approved
cetuximab,0.05,0.0,1.3,1.09,1.09,Approved
zalutumumab,0.05,0.0,-0.8,1.28,2.9,Terminated
bapineuzumab,0.07,0.0,-0.7,1.21,3.55,Terminated
daratumumab,0.06,0.0,1.8,1.21,3.15,Approved
brodalumab,0.02,0.27,11.2,1.48,2.93,Approved
lintuzumab,0.05,0.0,0.9,1.05,1.25,Terminated
