cohort,true_label,predicted_label,count,prediction_provenance
training_in_sample_ensemble,Approved,Approved,32,mean_probability_across_5_fold_models_in_sample
training_in_sample_ensemble,Approved,Terminated,19,mean_probability_across_5_fold_models_in_sample
training_in_sample_ensemble,Terminated,Approved,11,mean_probability_across_5_fold_models_in_sample
training_in_sample_ensemble,Terminated,Terminated,27,mean_probability_across_5_fold_models_in_sample
internal_test,Approved,Approved,10,mean_probability_across_5_fold_models
internal_test,Approved,Terminated,3,mean_probability_across_5_fold_models
internal_test,Terminated,Approved,2,mean_probability_across_5_fold_models
internal_test,Terminated,Terminated,8,mean_probability_across_5_fold_models
external_resolved,Approved,Approved,2,mean_probability_across_selected_head_5_fold_models
external_resolved,Approved,Terminated,0,mean_probability_across_selected_head_5_fold_models
external_resolved,Terminated,Approved,4,mean_probability_across_selected_head_5_fold_models
external_resolved,Terminated,Terminated,8,mean_probability_across_selected_head_5_fold_models
