head,fold,row_index,role,true_label
mlp,1,0,fold_train,Approved
mlp,1,1,fold_train,Approved
mlp,1,3,fold_train,Terminated
mlp,1,4,fold_train,Approved
mlp,1,5,fold_train,Terminated
mlp,1,6,fold_train,Approved
mlp,1,9,fold_train,Approved
mlp,1,10,fold_train,Approved
mlp,1,11,fold_train,Approved
mlp,1,12,fold_train,Approved
mlp,1,14,fold_train,Terminated
mlp,1,15,fold_train,Approved
mlp,1,17,fold_train,Terminated
mlp,1,18,fold_train,Approved
mlp,1,19,fold_train,Terminated
mlp,1,20,fold_train,Terminated
mlp,1,21,fold_train,Terminated
mlp,1,22,fold_train,Terminated
mlp,1,23,fold_train,Terminated
mlp,1,25,fold_train,Approved
mlp,1,27,fold_train,Terminated
mlp,1,28,fold_train,Terminated
mlp,1,29,fold_train,Approved
mlp,1,31,fold_train,Terminated
mlp,1,32,fold_train,Terminated
mlp,1,34,fold_train,Approved
mlp,1,35,fold_train,Approved
mlp,1,36,fold_train,Approved
mlp,1,37,fold_train,Approved
mlp,1,38,fold_train,Terminated
mlp,1,39,fold_train,Approved
mlp,1,40,fold_train,Approved
mlp,1,42,fold_train,Terminated
mlp,1,44,fold_train,Terminated
mlp,1,46,fold_train,Approved
mlp,1,47,fold_train,Approved
mlp,1,48,fold_train,Terminated
mlp,1,49,fold_train,Terminated
mlp,1,50,fold_train,Terminated
mlp,1,51,fold_train,Approved
mlp,1,52,fold_train,Approved
mlp,1,54,fold_train,Terminated
mlp,1,55,fold_train,Approved
mlp,1,57,fold_train,Terminated
mlp,1,58,fold_train,Terminated
mlp,1,59,fold_train,Approved
mlp,1,60,fold_train,Approved
mlp,1,61,fold_train,Terminated
mlp,1,62,fold_train,Approved
mlp,1,64,fold_train,Approved
mlp,1,65,fold_train,Terminated
mlp,1,67,fold_train,Approved
mlp,1,68,fold_train,Approved
mlp,1,69,fold_train,Approved
mlp,1,70,fold_train,Approved
mlp,1,71,fold_train,Approved
mlp,1,72,fold_train,Approved
mlp,1,73,fold_train,Terminated
mlp,1,74,fold_train,Approved
mlp,1,75,fold_train,Terminated
mlp,1,76,fold_train,Approved
mlp,1,77,fold_train,Terminated
mlp,1,79,fold_train,Terminated
mlp,1,80,fold_train,Approved
mlp,1,81,fold_train,Approved
mlp,1,82,fold_train,Approved
mlp,1,83,fold_train,Terminated
mlp,1,84,fold_train,Approved
mlp,1,85,fold_train,Terminated
mlp,1,86,fold_train,Approved
mlp,1,87,fold_train,Approved
mlp,1,2,fold_validation,Approved
mlp,1,7,fold_validation,Terminated
mlp,1,8,fold_validation,Approved
