head,fold,epoch,loss,val_loss
mlp,1,1,0.7899459600448608,0.7550682425498962
mlp,1,2,0.7357376217842102,0.7567498087882996
mlp,1,3,0.7217921018600464,0.759530782699585
mlp,1,4,0.7045942544937134,0.7635931372642517
mlp,1,5,0.6762766242027283,0.7696089744567871
mlp,1,6,0.658721387386322,0.7785559296607971
mlp,1,7,0.6381198763847351,0.7911911606788635
mlp,1,8,0.5927267670631409,0.8079283833503723
mlp,1,9,0.5551875829696655,0.8301839828491211
mlp,1,10,0.5431005358695984,0.8577206134796143
mlp,1,11,0.5170333981513977,0.891608476638794
mlp,1,12,0.4926047921180725,0.9106393456459045
mlp,1,13,0.47284558415412903,0.9319968819618225
mlp,1,14,0.4726434648036957,0.953811526298523
mlp,1,15,0.42944037914276123,0.9763502478599548
mlp,1,16,0.43518537282943726,1.0020995140075684
mlp,1,17,0.43200454115867615,1.028320550918579
mlp,1,18,0.41552165150642395,1.056288480758667
mlp,1,19,0.4268135130405426,1.0848488807678223
mlp,1,20,0.3978651762008667,1.1134347915649414
mlp,1,21,0.3907962143421173,1.1424306631088257
mlp,2,1,0.79483562707901,0.7661870718002319
mlp,2,2,0.7580050826072693,0.744030773639679
mlp,2,3,0.7423158884048462,0.7237377166748047
mlp,2,4,0.7292866110801697,0.703498363494873
mlp,2,5,0.7163102030754089,0.6842682957649231
mlp,2,6,0.712709367275238,0.6665096282958984
mlp,2,7,0.6812070608139038,0.6495394706726074
mlp,2,8,0.6715983152389526,0.6351349353790283
mlp,2,9,0.678200364112854,0.6224546432495117
mlp,2,10,0.6543194651603699,0.6128918528556824
mlp,2,11,0.6270469427108765,0.6046503782272339
mlp,2,12,0.6099035739898682,0.5999418497085571
mlp,2,13,0.6012575626373291,0.5977160334587097
mlp,2,14,0.5771531462669373,0.597730278968811
mlp,2,15,0.5691847205162048,0.5988974571228027
mlp,2,16,0.591999351978302,0.6022956371307373
mlp,2,17,0.564818263053894,0.6068412065505981
mlp,2,18,0.5424309372901917,0.6132524609565735
mlp,2,19,0.5547348260879517,0.621073842048645
mlp,2,20,0.5422319173812866,0.630308210849762
mlp,2,21,0.506258487701416,0.6421651840209961
mlp,2,22,0.48333877325057983,0.656640887260437
mlp,2,23,0.4917086958885193,0.6724849343299866
mlp,2,24,0.4908784329891205,0.6812016367912292
mlp,2,25,0.48109742999076843,0.6896470785140991
mlp,2,26,0.4808107018470764,0.6981039047241211
mlp,2,27,0.4773184657096863,0.7068814635276794
mlp,2,28,0.4599439203739166,0.7158722281455994
mlp,2,29,0.4630245566368103,0.7248305678367615
mlp,2,30,0.45109859108924866,0.7334439754486084
mlp,2,31,0.45847490429878235,0.7417201995849609
mlp,2,32,0.44834187626838684,0.7493727207183838
mlp,2,33,0.4231208562850952,0.7563271522521973
mlp,3,1,0.7780150175094604,0.751671314239502
mlp,3,2,0.7358963489532471,0.7564422488212585
mlp,3,3,0.7127260565757751,0.7626761794090271
mlp,3,4,0.6687736511230469,0.7678849697113037
mlp,3,5,0.6379046440124512,0.7765989303588867
mlp,3,6,0.5981898903846741,0.7940769791603088
mlp,3,7,0.5433565378189087,0.821587324142456
mlp,3,8,0.5191148519515991,0.8767678141593933
mlp,3,9,0.48023003339767456,0.9400431513786316
mlp,3,10,0.45727887749671936,1.0086464881896973
mlp,3,11,0.4293754994869232,1.0867385864257812
mlp,3,12,0.39895495772361755,1.1244797706604004
mlp,3,13,0.42554861307144165,1.1449702978134155
mlp,3,14,0.39249035716056824,1.1653690338134766
mlp,3,15,0.40873199701309204,1.1884316205978394
mlp,3,16,0.3888886570930481,1.2335110902786255
mlp,3,17,0.3792451322078705,1.2784950733184814
mlp,3,18,0.37776920199394226,1.3161789178848267
mlp,3,19,0.375600129365921,1.3520246744155884
mlp,3,20,0.3728514611721039,1.3785203695297241
mlp,3,21,0.3565903604030609,1.412908911705017
mlp,4,1,0.7513723373413086,0.7884741425514221
mlp,4,2,0.728164553642273,0.7884638905525208
mlp,4,3,0.7072889804840088,0.7882121205329895
mlp,4,4,0.6662181615829468,0.7881076335906982
mlp,4,5,0.6490157842636108,0.7886590957641602
mlp,4,6,0.6031617522239685,0.7891228199005127
mlp,4,7,0.5981939435005188,0.7872717380523682
mlp,4,8,0.5850114822387695,0.7854819297790527
mlp,4,9,0.5444126725196838,0.7873082756996155
mlp,4,10,0.5080852508544922,0.7918803095817566
mlp,4,11,0.4843820035457611,0.8018932342529297
mlp,4,12,0.4758441150188446,0.8168769478797913
mlp,4,13,0.4604421555995941,0.8407207131385803
mlp,4,14,0.4453694522380829,0.8763995170593262
mlp,4,15,0.43194377422332764,0.9210226535797119
mlp,4,16,0.40742504596710205,0.9734833836555481
mlp,4,17,0.3901064097881317,1.0291748046875
mlp,4,18,0.36275413632392883,1.0872955322265625
mlp,4,19,0.3723200857639313,1.1180696487426758
mlp,4,20,0.37064802646636963,1.1471408605575562
mlp,4,21,0.3631936311721802,1.1770389080047607
mlp,4,22,0.3560177981853485,1.2065191268920898
mlp,4,23,0.34808337688446045,1.2368676662445068
mlp,4,24,0.3318510055541992,1.2667046785354614
mlp,4,25,0.33184120059013367,1.2965991497039795
mlp,4,26,0.3383292555809021,1.326609492301941
mlp,4,27,0.34106019139289856,1.356513500213623
mlp,4,28,0.31572672724723816,1.3871827125549316
mlp,5,1,0.7853960394859314,0.7736562490463257
mlp,5,2,0.7695996165275574,0.7765116095542908
mlp,5,3,0.7547364830970764,0.7771506905555725
mlp,5,4,0.7448506355285645,0.7785311341285706
mlp,5,5,0.7291479110717773,0.7792536616325378
mlp,5,6,0.6929760575294495,0.7802070379257202
mlp,5,7,0.6809384822845459,0.7825897336006165
mlp,5,8,0.6637622117996216,0.7912071347236633
mlp,5,9,0.6402028203010559,0.8027264475822449
mlp,5,10,0.6129046082496643,0.8259350657463074
mlp,5,11,0.566745936870575,0.8639411926269531
mlp,5,12,0.5530679225921631,0.8937524557113647
mlp,5,13,0.5260475873947144,0.9278613924980164
mlp,5,14,0.5190823674201965,0.9672719240188599
mlp,5,15,0.5056048035621643,1.0092434883117676
mlp,5,16,0.48538947105407715,1.056496500968933
mlp,5,17,0.47197529673576355,1.1042096614837646
mlp,5,18,0.44258174300193787,1.1570340394973755
mlp,5,19,0.42938461899757385,1.2185858488082886
mlp,5,20,0.4187707006931305,1.2801682949066162
mlp,5,21,0.4040302634239197,1.3500175476074219
