# DERIVED VERBATIM FROM THE LOCKED MATLAB PLOTTING SOURCE; NOT AN ORIGINAL MODEL-OUTPUT FILE.
row_index,observed,augmented_prediction,unaugmented_prediction,augmented_absolute_error,unaugmented_absolute_error,augmentation_improved_absolute_error
1,7393000,6955000,6972000,438000,421000,FALSE
2,10033000,9524000,9665000,509000,368000,FALSE
3,2721000,3815000,3968000,1094000,1247000,TRUE
4,7523000,6939000,6969000,584000,554000,FALSE
5,7185000,6137000,8096000,1048000,911000,FALSE
6,8693000,8647000,9595000,46000,902000,TRUE
7,5650000,7994000,9606000,2344000,3956000,TRUE
8,4691000,6832000,7017000,2141000,2326000,TRUE
9,8266000,8120000,8194000,146000,72000,FALSE
10,8194000,8134000,8356000,60000,162000,TRUE
11,12405000,11779000,9649000,626000,2756000,TRUE
