order_rank,mAb_id,current_train_row_index_0based
1,VIS_028,28
2,VIS_037,37
3,VIS_011,11
4,VIS_034,34
5,VIS_002,2
6,VIS_030,30
7,VIS_040,40
8,VIS_032,32
9,VIS_026,26
10,VIS_004,4
11,VIS_010,10
12,VIS_022,22
13,VIS_031,31
14,VIS_029,29
15,VIS_042,42
16,VIS_043,43
17,VIS_007,7
18,VIS_014,14
19,VIS_033,33
20,VIS_050,50
21,VIS_018,18
22,VIS_049,49
23,VIS_035,35
24,VIS_015,15
25,VIS_005,5
26,VIS_027,27
27,VIS_016,16
28,VIS_051,51
29,VIS_020,20
30,VIS_045,45
31,VIS_008,8
32,VIS_013,13
33,VIS_025,25
34,VIS_017,17
35,VIS_038,38
36,VIS_041,41
37,VIS_001,1
38,VIS_012,12
39,VIS_046,46
40,VIS_024,24
41,VIS_006,6
42,VIS_023,23
43,VIS_036,36
44,VIS_021,21
45,VIS_019,19
46,VIS_009,9
47,VIS_039,39
48,VIS_048,48
49,VIS_003,3
50,VIS_000,0
51,VIS_047,47
52,VIS_044,44
