training_seed,feature,feature_display,repeat,importance_delta_r2
0,DLS Interaction Parameter kD (mL/g),DLS kD,1,1.2791576635131106
0,DLS Interaction Parameter kD (mL/g),DLS kD,2,0.5501612851299527
0,DLS Interaction Parameter kD (mL/g),DLS kD,3,0.9404183422665716
0,DLS Interaction Parameter kD (mL/g),DLS kD,4,0.7771452170235922
0,DLS Interaction Parameter kD (mL/g),DLS kD,5,1.2758203873111118
0,DLS Interaction Parameter kD (mL/g),DLS kD,6,0.6987905158494451
0,DLS Interaction Parameter kD (mL/g),DLS kD,7,1.1886371185806843
0,DLS Interaction Parameter kD (mL/g),DLS kD,8,0.577227724469287
0,DLS Interaction Parameter kD (mL/g),DLS kD,9,1.0127808427365277
0,DLS Interaction Parameter kD (mL/g),DLS kD,10,0.8207836092291605
0,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,1,0.2525789225478176
0,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,2,0.2518818201516102
0,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,3,0.4829083495378306
0,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,4,0.759898319877971
0,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,5,0.2337553484050598
0,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,6,0.2678755906622034
0,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,7,0.32142039139874
0,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,8,0.3298148152423343
0,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,9,0.2979452510191688
0,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,10,0.1206437688564373
0,AC-SINS λmax (nm),AC-SINS Δλmax,1,0.1879932546844827
0,AC-SINS λmax (nm),AC-SINS Δλmax,2,0.2831570165390447
0,AC-SINS λmax (nm),AC-SINS Δλmax,3,0.1461030214367105
0,AC-SINS λmax (nm),AC-SINS Δλmax,4,0.1224595974792861
0,AC-SINS λmax (nm),AC-SINS Δλmax,5,0.1119464260710816
0,AC-SINS λmax (nm),AC-SINS Δλmax,6,0.1364980119118601
0,AC-SINS λmax (nm),AC-SINS Δλmax,7,0.0732610416142192
0,AC-SINS λmax (nm),AC-SINS Δλmax,8,0.0817528307855746
0,AC-SINS λmax (nm),AC-SINS Δλmax,9,0.1016286940892412
0,AC-SINS λmax (nm),AC-SINS Δλmax,10,0.2313707141447409
0,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,1,-0.0169450631194499
0,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,2,0.0150856154093335
0,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,3,0.0060809566376809
0,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,4,0.0459056596292632
0,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,5,0.0688907656154904
0,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,6,0.0046363104716241
0,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,7,-0.0580376255904484
0,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,8,0.0207695341720524
0,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,9,0.0072637395604568
0,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,10,0.0234685455503286
1,DLS Interaction Parameter kD (mL/g),DLS kD,1,1.0183101073472614
1,DLS Interaction Parameter kD (mL/g),DLS kD,2,0.8365637842978282
1,DLS Interaction Parameter kD (mL/g),DLS kD,3,0.050783284504285
1,DLS Interaction Parameter kD (mL/g),DLS kD,4,1.1594260794727351
1,DLS Interaction Parameter kD (mL/g),DLS kD,5,1.0881349129877114
1,DLS Interaction Parameter kD (mL/g),DLS kD,6,0.6429266942245806
1,DLS Interaction Parameter kD (mL/g),DLS kD,7,0.5124310114743322
1,DLS Interaction Parameter kD (mL/g),DLS kD,8,0.6676803992717997
1,DLS Interaction Parameter kD (mL/g),DLS kD,9,0.8986392286830722
1,DLS Interaction Parameter kD (mL/g),DLS kD,10,0.6964396606199094
1,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,1,0.2046012392309149
1,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,2,0.1376186218596111
1,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,3,0.4196816126209619
1,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,4,0.1785271366517062
1,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,5,0.4020285431078648
1,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,6,0.3167327340416714
1,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,7,-0.0037918263586804
1,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,8,0.4000173601883506
1,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,9,0.1122442472902269
1,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,10,0.3226044237433381
1,AC-SINS λmax (nm),AC-SINS Δλmax,1,0.053340488130458
1,AC-SINS λmax (nm),AC-SINS Δλmax,2,0.1178006976364551
1,AC-SINS λmax (nm),AC-SINS Δλmax,3,0.2152809129899422
1,AC-SINS λmax (nm),AC-SINS Δλmax,4,0.1268397174057465
1,AC-SINS λmax (nm),AC-SINS Δλmax,5,0.2052754816435289
1,AC-SINS λmax (nm),AC-SINS Δλmax,6,0.1479550910004949
1,AC-SINS λmax (nm),AC-SINS Δλmax,7,0.0731217710310352
1,AC-SINS λmax (nm),AC-SINS Δλmax,8,0.4309954414284078
1,AC-SINS λmax (nm),AC-SINS Δλmax,9,0.077701952439356
1,AC-SINS λmax (nm),AC-SINS Δλmax,10,0.2477166270998824
1,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,1,0.0238758641985112
1,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,2,0.0593642554901693
1,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,3,0.1343666438321009
1,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,4,0.0341350511903237
1,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,5,0.0292496826658733
1,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,6,0.0110458549027763
1,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,7,0.033756676796195
1,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,8,0.0094633124093912
1,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,9,0.0211030863574923
1,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,10,0.0227497311983824
2,DLS Interaction Parameter kD (mL/g),DLS kD,1,0.8339247879536258
2,DLS Interaction Parameter kD (mL/g),DLS kD,2,1.539887388437046
2,DLS Interaction Parameter kD (mL/g),DLS kD,3,0.5338233766498642
2,DLS Interaction Parameter kD (mL/g),DLS kD,4,0.6276756636591151
2,DLS Interaction Parameter kD (mL/g),DLS kD,5,1.2038169910452916
2,DLS Interaction Parameter kD (mL/g),DLS kD,6,0.9146240745061468
2,DLS Interaction Parameter kD (mL/g),DLS kD,7,0.7515357751590828
2,DLS Interaction Parameter kD (mL/g),DLS kD,8,0.8004677013426342
2,DLS Interaction Parameter kD (mL/g),DLS kD,9,1.1905543935261922
2,DLS Interaction Parameter kD (mL/g),DLS kD,10,1.0533690733195658
2,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,1,0.3004001640768303
2,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,2,0.2622967881180001
2,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,3,0.321369868781691
2,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,4,0.3025621058405419
2,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,5,0.2612156397978771
2,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,6,0.0407509317481067
2,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,7,-0.0264431924719407
2,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,8,0.4745014697696118
2,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,9,0.3143112885477509
2,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,10,0.2602128625523395
2,AC-SINS λmax (nm),AC-SINS Δλmax,1,0.7236013815814368
2,AC-SINS λmax (nm),AC-SINS Δλmax,2,0.2378072503990534
2,AC-SINS λmax (nm),AC-SINS Δλmax,3,0.452561147101666
2,AC-SINS λmax (nm),AC-SINS Δλmax,4,0.1911624971416414
2,AC-SINS λmax (nm),AC-SINS Δλmax,5,0.0817139971624434
2,AC-SINS λmax (nm),AC-SINS Δλmax,6,0.006733595255566
2,AC-SINS λmax (nm),AC-SINS Δλmax,7,-0.0491420015661712
2,AC-SINS λmax (nm),AC-SINS Δλmax,8,0.3534660395190767
2,AC-SINS λmax (nm),AC-SINS Δλmax,9,0.2403368227019942
2,AC-SINS λmax (nm),AC-SINS Δλmax,10,0.1529607102280525
2,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,1,0.0955822115510232
2,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,2,-0.1294648327817056
2,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,3,0.0520627364858856
2,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,4,0.0347700051430761
