training_seed,feature,feature_display,importance_mean,importance_sd_within_seed
0,DLS Interaction Parameter kD (mL/g),DLS kD,0.9120922706109443,0.2727690666294034
0,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,0.3318722577699173,0.1758498747927414
0,AC-SINS λmax (nm),AC-SINS Δλmax,0.14761706087562415,0.06751876533089032
0,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,0.011711843833633159,0.03408820707553716
1,DLS Interaction Parameter kD (mL/g),DLS kD,0.7571335162883515,0.32480528271452797
1,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,0.24902640923759653,0.14426474415212392
1,AC-SINS λmax (nm),AC-SINS Δλmax,0.1696028180805307,0.11256551447479062
1,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,0.03791101590412156,0.036683072128177056
2,DLS Interaction Parameter kD (mL/g),DLS kD,0.9449679225598565,0.30445897132285876
2,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,0.25111779267608086,0.14356890803991887
2,AC-SINS λmax (nm),AC-SINS Δλmax,0.23912014395247594,0.22729226676445524
2,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,0.05119966252569079,0.09629467632739962
3,DLS Interaction Parameter kD (mL/g),DLS kD,0.6257427062579267,0.2221961011524571
3,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,0.09690877860830746,0.15956559127618772
3,AC-SINS λmax (nm),AC-SINS Δλmax,0.10468395037935145,0.10246851989357794
3,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,0.0060032136038171814,0.04219394763901764
4,DLS Interaction Parameter kD (mL/g),DLS kD,1.0913581999139668,0.4045733071444459
4,SE-UHPLC Main Peak Plates (EP),SE-UHPLC Plates,0.48175312717610125,0.18352052521382445
4,AC-SINS λmax (nm),AC-SINS Δλmax,0.2514534283223741,0.1231053079924473
4,SE-UHPLC Main Peak FWHM (min),SE-UHPLC FWHM,0.09995706109041352,0.08407510912029295
