FcRn_RT,AC-SINS DiffC (µm²/s),Heparin_RT,Heparin_pB_buffer,BVP_high,membrane_prep,poly_D_lysine,PEI,"SE-UHPLC % LMW, t = 4 wk 40C, 1 mg/mL A52Su",AUC (ng∙h/mL)
41.1,0.49,11.1,7.3,0.0639,3.79,1.92,3.34,3.498332784,792.01
39.3,2.26,9.18,6.3,0.0632,1.98,1.26,1.74,19.12616019,565.019
40.4,0.42,3.99,0,0.0631,1.81,1.28,2.46,4.827386423,529.36
38.8,0.87,6.84,5.2,0.0617,4.41,2.59,3.68,3.314918867,966.52
40.8,0.37,10.2,6.8,0.0714,14.2,2.8,3.16,3.513821345,754.2
38.6,2.23,5.85,4.9,0.0773,3.01,2.45,2.56,5.95241274,718.47
38.5,0.88,9.31,6.4,0.065,4.39,2.75,3.95,3.495903631,841.78
40.3,0.29,5.09,4.4,0.0657,2.97,1.59,2.14,3.343856337,695.866
38.8,0.51,7.76,5.7,0.0631,4.11,2.07,3.19,2.997738813,767.54
40,0.77,20.2,12.4,0.1891,6.4,3.59,5.68,3.135431049,182.07
40.3,0.71,9.7,6.6,0.0641,3.88,2.55,2.93,3.138945804,503.334
38.6,0.48,9.96,6.7,0.0641,5.93,2.8,1.86,2.869075503,826.56
38.8,1.61,5.88,4.8,0.0591,3.72,1.75,2.64,0.82931167,970.326
39.2,1.83,3.92,0,0.0636,3.38,2.24,2.15,2.908613923,1318
39.3,1.21,7,5.3,0.0664,2.48,1.21,2,3.000436885,864.676
39,1.81,5.08,4.4,0.0612,3.15,2.09,2.32,0.759724105,869.345
38.5,1.49,8.9,6.2,0.0699,4.61,2.23,3.5,3.019851429,958.21
40.5,2.15,10.2,6.8,0.0763,4.43,2.54,3.13,3.855898964,550.971
40.1,1.94,15.2,9.5,0.0698,4.36,2.86,2.9,3.586893466,566.96
40.6,1.72,8.13,5.8,0.0623,6.23,1.88,3.13,3.336898895,862.26
39.9,0.6,18,11.2,0.0714,7.83,3.03,4.2,3.176256374,613.74
41.5,0.47,7.33,5.5,0.0758,1.69,1.21,1.42,3.418661318,536.93
39.5,0.82,10,6.8,0.0723,5.64,3.6,3.96,3.288370852,898.37
39.1,0.41,3.95,0,0.0608,3.91,1.61,3.11,3.077019075,636.6
39.2,2.55,7.95,5.7,0.0615,4.58,2.5,3.07,3.371317896,963.96
40.3,1.13,20.1,12.4,0.0751,7.22,3.85,6.2,3.222181207,272.12
42.6,0.28,20.3,12.4,0.598,12,5.31,7.04,4.126427943,408.26
41.5,1.78,17.7,10.9,0.133,10.9,5.55,7.92,3.301143198,385.51
41.5,3.54,2.92,0,0.0645,4.87,1.98,1.66,3.335371568,1014.2
38.3,2.74,3,0,0.0819,4.04,1.82,3.66,4.34684678,557.94
37.4,3.42,3.27,0,0.0617,2.62,1.33,3.24,3.38362815,1240.5
39.6,2.3,13.7,8.7,0.0684,7.84,4.18,5.56,3.2590951,565.019
39.4,1.01,15.7,9.8,0.0711,3.84,1.94,2.58,4.863598435,712.253
41.1,0.36,12.1,7.8,0.0687,8.27,2.54,3.33,8.978507235,469.068
39.3,1.27,14.8,9,0.0643,12.6,3.16,5,7.699155431,696.87
40.7,0.5,3.12,0,0.0622,3.95,1.53,2.55,3.916004076,585.4
41.5,0.33,10.4,6.9,0.0835,6.66,2.03,4.33,3.476316833,819.42
39.5,1.55,8.21,5.9,0.0685,6.01,1.84,4.25,3.213247117,960.4
41.5,0.69,13.9,8.8,0.0639,9.53,4.32,5.16,3.334592678,1340.4
40.2,1.81,11.6,7.6,0.0622,4.16,2.03,3.31,3.466623098,849.95
38.4,1.11,7.45,5.5,0.0611,4.99,1.99,3.77,3.194581335,1003.3
41.4,0.28,10.7,7.1,0.0708,14,5.05,7.38,3.56684254,603.66
41.2,0.81,12.7,8.1,0.0985,8,3.02,3.13,3.265016796,288.73
39.7,0.45,13.9,6,0.0651,2.75,1.4,2.13,3.071618686,974.07
38.5,5.05,5.11,4.4,0.0605,4.45,2.02,2.66,2.877290988,1062.979
39.4,1.59,11.3,7.3,0.069,5.76,3.09,2.81,3.955546147,780.58
40.6,1.01,12.2,7.9,0.117,8.1,4.81,6.82,3.046217843,842.54
40.9,0.95,7.63,5.6,0.0685,2.67,1.53,2.82,0.892656292,1222.1
39.7,0.45,13.1,8.4,0.0668,5.84,3.11,4.63,3.289005619,752.3
39.7,0.46,15.6,9.8,0.0666,6.74,3.34,3.43,3.094371336,683.154
39.5,0.42,15.7,9.9,0.0643,8.15,4.92,6.24,2.935143086,739.34
39.7,1.28,31.5,19,1.669,10.2,4.54,5.2,4.909651485,157.65
40.9,1.13,3.95,0,0.134,3.62,1.4,3.01,0.890722442,1177.8
40.6,2.47,10.3,6.9,0.0711,6.16,2.19,5.17,3.240887765,837.28
39.6,0.8,15,9.4,0.0674,9.25,3.3,4.58,3.176837526,841.23
