mAb_id,split_seed0,Name,DLS Interaction Parameter kD (mL/g),SE-UHPLC Main Peak Plates (EP),Heparin Chromatography Conductivity at Elution Start (mS/cm),Poly-D-Lysine Assay Score,PEG Precipitation Conc50 (%),AC-SINS DiffC (µm²/s),SE-UHPLC Area Main Peak (AU*min),mAb-Pac HIC-20 pH 6 retention time (min),AC-SINS Δλmax,SE-UHPLC Main Peak FWHM (min),Viscosity at measured conc near 150 mg/mL (cP)
VIS_000,train,Ab33,30.91938585,5853,7.3,3.599271403,27,0.82,0.1221,41.681,2,0.086,9.4
VIS_001,train,Ab70,17.05784921,2331,5.676,1.531944444,41,0.95,0.1342,142.524,50,0.152,45
VIS_002,train,Ab39,43.90886439,6209,15.38,5.548961424,45,1.78,0.1133,38.152,36,0.082,10.9
VIS_003,train,Ab56,31.79865021,4106,7.823,2.033025099,31,0.33,0.1495,41.644,40,0.104,26.4
VIS_004,train,Ab78,25.23252093,5137,8.421,2.188059701,45,2.47,0.1356,57.884,44,0.095,13.9
VIS_005,train,Ab50,35.15293123,6239,13.353,1.940711462,33,1.01,0.1195,35.931,20,0.081,8.6
VIS_006,train,Ab66,38.11585447,5710,9.036,3.085611511,43,1.59,0.1297,42.67,0,0.087,8.1
VIS_007,train,Ab44,-9.381179345,5164,3.97,1.977695167,15,3.54,0.1331,38.899,-2,0.087,19.7
VIS_008,train,Ab18,23.88153183,4625,3.937,1.75242047,45,1.61,0.1325,54.091,-2,0.103,14.6
VIS_009,train,Ab7,22.13486552,5549,4.124,2.446178687,27,2.23,0.1256,39.875,0,0.086,7.3
VIS_010,train,Ab83,1.699033624,5330,3.961,2.224202627,19,4.69,0.129,44.625,58,0.089,45.9
VIS_011,train,Ab77,-1.271482613,3024,3.26,1.398508699,39,1.13,0.1398,59.22,36,0.132,45
VIS_012,train,Ab69,35.83177546,4409,10.51,4.812234043,39,1.01,0.1343,51.66,36,0.101,14.8
VIS_013,train,Ab74,34.21947166,5895,13.353,3.340523883,45,0.46,0.1425,34.188,26,0.084,10
VIS_014,train,Ab49,-0.698763767,6090,3.96,1.483273596,27,0.39,0.1401,42.484,2,0.081,34.2
