development_row,mAb_id,split_seed0,workbook_name,workbook_data_row_zero_based,workbook_excel_row
1,VIS_000,train,Ab33,32,34
2,VIS_001,train,Ab70,69,71
3,VIS_002,train,Ab39,38,40
4,VIS_003,train,Ab56,55,57
5,VIS_004,train,Ab78,77,79
6,VIS_005,train,Ab50,49,51
7,VIS_006,train,Ab66,65,67
8,VIS_007,train,Ab44,43,45
9,VIS_008,train,Ab18,17,19
10,VIS_009,train,Ab7,6,8
11,VIS_010,train,Ab83,82,84
12,VIS_011,train,Ab77,76,78
13,VIS_012,train,Ab69,68,70
14,VIS_013,train,Ab74,23,25
15,VIS_014,train,Ab49,48,50
16,VIS_015,train,Ab16,15,17
17,VIS_016,train,Ab73,72,74
18,VIS_017,train,Ab14,13,15
19,VIS_018,train,Ab75,74,76
20,VIS_019,train,Ab23,22,24
21,VIS_020,train,Ab15,14,16
22,VIS_021,train,Ab29,28,30
23,VIS_022,train,Ab28,27,29
24,VIS_023,train,Ab58,57,59
25,VIS_024,train,Ab72,71,73
26,VIS_025,train,Ab54,31,33
27,VIS_026,train,Ab48,47,49
28,VIS_027,train,Ab64,63,65
29,VIS_028,train,Ab52,51,53
30,VIS_029,train,Ab40,39,41
31,VIS_030,train,Ab59,58,60
32,VIS_031,train,Ab65,64,66
33,VIS_032,train,Ab42,41,43
34,VIS_033,train,Ab47,46,48
35,VIS_034,train,Ab67,66,68
36,VIS_035,train,Ab80,79,81
37,VIS_036,train,Ab17,16,18
38,VIS_037,train,Ab6,5,7
39,VIS_038,train,Ab38,37,39
40,VIS_039,train,Ab53,52,54
41,VIS_040,train,Ab37,36,38
42,VIS_041,train,Ab62,61,63
43,VIS_042,train,Ab35,34,36
44,VIS_043,train,Ab22,21,23
45,VIS_044,train,Ab1,0,2
46,VIS_045,train,Ab26,25,27
47,VIS_046,train,Ab61,60,62
48,VIS_047,train,Ab5,4,6
49,VIS_048,train,Ab20,19,21
50,VIS_049,train,Ab25,24,26
51,VIS_050,train,Ab41,40,42
52,VIS_051,train,Ab34,33,35
