Rank,Candidate_assay,Pearson_r_recomputed,Pearson_r_previous,Absolute_difference
1,SE-UHPLC Main Peak FWHM (min),0.5922362246665437,0.5922362246665437,0.0
2,DLS Interaction Parameter kD (mL/g),-0.5894394198280704,-0.5894394198280704,0.0
3,SE-UHPLC Main Peak Plates (EP),-0.5863243462738378,-0.5863243462738378,0.0
4,AC-SINS Δλmax,0.47105225463254347,0.47105225463254347,0.0
5,mAb-Pac HIC-20 pH 6 retention time (min),0.42776965679533396,0.42776965679533396,0.0
6,Heparin Chromatography Conductivity at Elution Start (mS/cm),-0.4027801013033533,-0.4027801013033533,0.0
7,Poly-D-Lysine Assay Score,-0.39094299155932205,-0.39094299155932205,0.0
8,PEG Precipitation Conc50 (%),-0.22859089974257027,-0.22859089974257027,0.0
9,SE-UHPLC Area Main Peak (AU*min),0.21545802337530903,0.21545802337530903,0.0
10,AC-SINS DiffC (µm²/s),0.06231574212661659,0.06231574212661659,0.0
