Rank,Candidate_assay,Pearson_r,Absolute_r,Univariate_R2,P_value_nominal,Development_n,Top4_in_this_scope,Used_in_archived_model
1,SE-UHPLC Main Peak FWHM (min),0.5922362246665437,0.5922362246665437,0.3507437458072808,3.7486276801289396e-06,52,True,True
2,DLS Interaction Parameter kD (mL/g),-0.5894394198280704,0.5894394198280704,0.3474388296472522,4.274252989209112e-06,52,True,True
3,SE-UHPLC Main Peak Plates (EP),-0.5863243462738378,0.5863243462738378,0.34377623903344323,4.939801341916424e-06,52,True,True
4,AC-SINS Δλmax,0.47105225463254347,0.47105225463254347,0.22189022659440258,0.0004242617331282605,52,True,True
5,mAb-Pac HIC-20 pH 6 retention time (min),0.42776965679533396,0.42776965679533396,0.18298687927479781,0.0015601689864220712,52,False,False
6,Heparin Chromatography Conductivity at Elution Start (mS/cm),-0.4027801013033533,0.4027801013033533,0.16223181000593953,0.0030724514638524806,52,False,False
7,Poly-D-Lysine Assay Score,-0.39094299155932205,0.39094299155932205,0.15283642264935215,0.0041620968152457334,52,False,False
8,PEG Precipitation Conc50 (%),-0.22859089974257027,0.22859089974257027,0.052253799445117814,0.10310487571174182,52,False,False
9,SE-UHPLC Area Main Peak (AU*min),0.21545802337530903,0.21545802337530903,0.046422159836795214,0.12502948669843902,52,False,False
10,AC-SINS DiffC (µm²/s),0.06231574212661659,0.06231574212661659,0.003883251716790978,0.6607567864379643,52,False,False
