endpoint,model,fold,n_train,n_validation,n_features,cache_file,sha256
viscosity,Ridge,1,95,26,4,fold_cache/viscosity__Ridge__fold1.npz,6968fa73aae60f3c34d2da95f1dad721538fdc52fb28a8f4af36382d46608843
viscosity,Ridge,2,95,26,4,fold_cache/viscosity__Ridge__fold2.npz,f22dbea2cab086c6893eba865ede42ee1783194998d55252b9501eafa281d323
viscosity,Ridge,3,105,26,4,fold_cache/viscosity__Ridge__fold3.npz,c08cd977c184ec7bc43f285e5a628408f6e567153613af8ecba09fbe0e5108ee
viscosity,Ridge,4,106,26,4,fold_cache/viscosity__Ridge__fold4.npz,0d232b812d724ca9445a28e25558104b5c25821a4c7436544f0da0827a645bc1
viscosity,Ridge,5,100,26,4,fold_cache/viscosity__Ridge__fold5.npz,0e67b36b14bcf49e0794f125332576868e842860ad118234c59e7bfbe12f742c
viscosity,SVR,1,95,26,4,fold_cache/viscosity__SVR__fold1.npz,6968fa73aae60f3c34d2da95f1dad721538fdc52fb28a8f4af36382d46608843
viscosity,SVR,2,95,26,4,fold_cache/viscosity__SVR__fold2.npz,d533fbc0ffc6a7f04620d32ea5bbf82f5db03677ad477315604f50e41673a8b1
viscosity,SVR,3,105,26,4,fold_cache/viscosity__SVR__fold3.npz,8958ef1c1fef773ca9329deb9396ecd93b1784d740157e3ffd6c88e25629cda5
viscosity,SVR,4,106,26,4,fold_cache/viscosity__SVR__fold4.npz,3f3b3d341bb2fff75d103e238f9b38500f01eb689a496e47548d8db487def57a
viscosity,SVR,5,100,26,4,fold_cache/viscosity__SVR__fold5.npz,a12f64fb7400eee4107b91bf80060874e57c9e032a9b5eca2c843772a3349819
viscosity,RandomForest,1,95,26,4,fold_cache/viscosity__RandomForest__fold1.npz,6968fa73aae60f3c34d2da95f1dad721538fdc52fb28a8f4af36382d46608843
viscosity,RandomForest,2,95,26,4,fold_cache/viscosity__RandomForest__fold2.npz,5ecfca3a1db54ef2aa9b2eab624813e5835271e7d4726629841787d90e51eeb1
viscosity,RandomForest,3,105,26,4,fold_cache/viscosity__RandomForest__fold3.npz,a142c1132ae6c46be4677c62ee31356cef9a76b23a998f42b5d19d4c860cdfdb
viscosity,RandomForest,4,106,26,4,fold_cache/viscosity__RandomForest__fold4.npz,a121bcec1069306563401a0f0c9aa32a38e5668a563c90a3b804978744a50527
viscosity,RandomForest,5,100,26,4,fold_cache/viscosity__RandomForest__fold5.npz,409ccfd9fa2c78785e6ec93e9fee3146fe621a372b0ed2a298ff0184ea9aeeba
mouse_exposure,Ridge,1,132,34,4,fold_cache/mouse_exposure__Ridge__fold1.npz,015d8ba48424a64a8c733e1af725e7e9563556803bcf08efa7244762e7717c5e
mouse_exposure,Ridge,2,135,34,4,fold_cache/mouse_exposure__Ridge__fold2.npz,73be6143d92e8593bbd75c8bdd7d9089e970caace058c91fc7d33797bb5c7f6c
mouse_exposure,Ridge,3,127,34,4,fold_cache/mouse_exposure__Ridge__fold3.npz,95833b11fc8625df7c129768ca7e3647e674eaf0078f952df9d2a880ae6ee442
mouse_exposure,Ridge,4,135,33,4,fold_cache/mouse_exposure__Ridge__fold4.npz,8e5a39fe76eeb621e27e61255d78502e8f83ec404fcb9b2ca5aca09aea427aa3
mouse_exposure,Ridge,5,135,33,4,fold_cache/mouse_exposure__Ridge__fold5.npz,0bdf5e6150eca7dd517ca973fb17eb911a4d43fb31178bea4fe7c24d151c7233
mouse_exposure,SVR,1,133,34,4,fold_cache/mouse_exposure__SVR__fold1.npz,ac0b1e2c8362e663cce9d12c6278efbc1b963d1e4679fdecee5db5d49615191b
mouse_exposure,SVR,2,133,34,4,fold_cache/mouse_exposure__SVR__fold2.npz,fd02e35e04b0f95ae95e55726b1df261e544b55f60f4958ec9cdb6c97480733b
mouse_exposure,SVR,3,122,34,4,fold_cache/mouse_exposure__SVR__fold3.npz,97d56a83262b631c3c84048997621d802539f8d1a0a40683baeb889d83612247
mouse_exposure,SVR,4,135,33,4,fold_cache/mouse_exposure__SVR__fold4.npz,7a9c579afe2fda2fbcc865e64753209abb5554a2efc20a1beb76f776b6fe7694
mouse_exposure,SVR,5,131,33,4,fold_cache/mouse_exposure__SVR__fold5.npz,4552d3426770581be7616681601eb10086466d3d857b3a76702a37f5afc147a4
mouse_exposure,RandomForest,1,138,34,4,fold_cache/mouse_exposure__RandomForest__fold1.npz,72905325a5d344d320d792633963a68c849d579304e55a18f2a6aff6a02e459a
mouse_exposure,RandomForest,2,132,34,4,fold_cache/mouse_exposure__RandomForest__fold2.npz,c21bdc0458ad142621e5f415ce1156bbb01d1b97ea63e2d3e3cd70633cc20573
mouse_exposure,RandomForest,3,122,34,4,fold_cache/mouse_exposure__RandomForest__fold3.npz,5f547e7fe9e37558c6c8630fe1a21daaa68282397e7306b440b061da804580a8
mouse_exposure,RandomForest,4,135,33,4,fold_cache/mouse_exposure__RandomForest__fold4.npz,aba5a2bdb3c7a755e6843f9d3c5bb3c1adfb8626b884b5708eab4116ac15fdb9
mouse_exposure,RandomForest,5,136,33,4,fold_cache/mouse_exposure__RandomForest__fold5.npz,32220a238a8af8498ccaef13e4adaff8654820b1c6c0c68cd459bc915de4828b
